sim_id,trajectory_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation_mode,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_mean_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),mpc_max_omega0,mpc_max_omega1,mpc_max_omega2,mpc_max_omega3,mpc_max_omega4,mpc_max_omega5,mpc_max_omega6,mpc_max_omega7,nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi (rad),nn_max_phi (rad),nn_mean_phi (rad),nn_std_phi (rad),nn_min_theta (rad),nn_max_theta (rad),nn_mean_theta (rad),nn_std_theta (rad),nn_min_psi (rad),nn_max_psi (rad),nn_mean_psi (rad),nn_std_psi (rad),nn_min_omega_squared,nn_max_omega0,nn_max_omega1,nn_max_omega2,nn_max_omega3,nn_max_omega4,nn_max_omega5,nn_max_omega6,nn_max_omega7,radius (m),period (s),inter_position_RMSe,RMSe_u0,RMSe_u1,RMSe_u2,RMSe_u3,RMSe_u4,RMSe_u5,RMSe_u6,RMSe_u7
1,1,circle_xy,False,26,0.02,60,10,True,1299,0.40673855987659513,32.3840195001103,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.22530004618500873,0.14073610556124794,-0.0004284672707322297,0.10009596560085023,-0.6030184109330524,0.2880506260946369,-0.013861813127482098,0.13050305148875715,-0.19121781899293844,0.06112134998779279,-0.012019248611460802,0.03339372991777444,0.0,300.8858962454484,319.2562895929973,204.7607673270736,260.40544293227066,208.21690444519228,320.7413486132617,301.4385484789152,True,6.233575798920356,0.37556693780922806,-0.7920376372755538,0.3071192779266564,-0.004780891402090787,0.13514053261562073,-0.6557361906593656,0.23248711511256595,-0.014204399339201722,0.1314475046691414,-0.1902915408922637,0.1112074951941618,-0.04961703389935668,0.043449208160271376,0.0,0.0,301.23913154560984,320.68681492749994,204.6408118015982,261.9863870477305,206.14662269886506,321.2259238011689,303.33796733196533,5,13.0,0.1274745158590945,0.0,7.280400333318825,7.034494886371057,6.783413281021468,7.102709678577754,6.894140060105147,7.415709166571396,7.604046346714768
2,1,circle_xy,False,26,0.02,60,10,True,1299,0.5563954498412883,148.59051779902074,total_failure,1,100.0-0.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.3770721578459875,1.186244439630232,-0.01049345896540161,0.2070562137865573,-0.9009118783344191,0.5348086494280678,-0.02562013318980217,0.18246518843720066,-0.6890993855796872,1.5556574916793875,0.012559187390886946,0.2389694788690845,342.770787989644,0.0,342.770787989644,342.770787989644,294.6498627960706,342.7707879896441,294.6498638648793,342.770787989644,True,6.518407100113109,0.4007023324133776,-0.45016984483852435,0.2416206576638912,-0.003901123347383852,0.1320030182096499,-0.6246481113710988,0.3230205071398783,-0.014832038142166945,0.1456659342060105,-0.11978445347645558,0.3923967565404191,0.014951016277937908,0.07787830729700597,0.0,302.39779939462005,0.0,296.95702548839967,314.8119659998668,209.16153363649883,257.52948313331825,206.45089054599154,314.9143783157067,5,13.0,0.3896838357574185,20.108738841953485,0.0,13.710521306562276,14.984530058990945,13.147600725573117,24.539335223989898,29.486359737589634,16.740155550129945
3,1,circle_xy,False,26,0.02,60,10,True,1299,0.3538009291742302,35.34939720004331,total_failure,2,100.0-100.0-0.0-100.0-100.0-100.0-100.0-100.0,-0.24571739411838164,0.14069912497954656,0.0008571871798444369,0.10294424688118467,-0.6637936275938761,0.19619589100071402,-0.014651475037698446,0.13041251946321994,-0.3503881758165392,0.038941635206306134,-0.019553054001819486,0.0625862424039548,314.4261354067748,295.66695199141986,0.0,296.24501325065773,315.1663912970983,204.3491322566703,258.0949325771239,203.5102204618969,True,7.9369497005827725,0.37316114003473416,-0.2980772559443947,0.17905365000871265,0.0003732802591551144,0.1114462759131282,-0.6441601456586967,0.2107472931216397,-0.016323112392448533,0.12877486179331035,-0.3290688262759168,0.05803297314813938,-0.013192430778064526,0.06492074015411316,0.0,307.20815023206455,287.4723529294253,0.0,286.0293464783102,307.95904327929827,200.3322562801891,246.4353022471182,199.7729847804985,5,13.0,0.1163625130781927,3.8852433604898455,3.3778764785116544,0.0,3.6199058611269406,4.144777615937353,3.2693083856274296,5.156903964693794,2.823576045945984
4,1,circle_xy,False,26,0.02,60,10,True,1299,0.3053766935620255,37.309065398643725,total_failure,3,100.0-100.0-100.0-0.0-100.0-100.0-100.0-100.0,-0.6518007630896794,0.7214601007581777,0.001640823258283333,0.1315319042570611,-0.7098295266697034,0.18138743557197506,-0.013626014043208472,0.12858696476900516,-0.1953164479439418,0.07229945123782702,-0.0005844262386527296,0.0215818807266792,270.9462330695158,307.7513778833188,296.65274705519636,0.0,314.3747410015419,315.1931581625058,270.94623436056804,270.9466558595847,True,7.001338401576504,0.32475534269784223,-0.4863762380975657,0.32751938339436304,-0.00044119495286184683,0.11331502230041761,-0.6497570249229474,0.17460275122901822,-0.012970022667741818,0.13011400052282354,-0.08708027483492542,0.060279887048064446,-0.01596575631108339,0.025786970064843127,0.0,198.030581214443,309.53663773930305,297.93914004500516,0.0,294.132055054817,311.2352886133989,205.0168403465159,256.8917931711678,5,13.0,0.107602529953075,12.119814041276802,5.8227193979022065,5.269939818858263,0.0,6.333647851682013,4.154686302365258,15.597113257653806,5.368786659436435
5,1,circle_xy,False,26,0.02,60,10,True,1299,0.7541589197829497,29.730579099501483,total_failure,4,100.0-100.0-100.0-100.0-0.0-100.0-100.0-100.0,-0.7113381862987074,1.431374423399505,3.945868234078959e-05,0.2078862186312235,-0.7088579456238739,0.597964149570029,-0.014625820538506919,0.16763147368607267,-0.7348174647210226,0.23022779369649501,-0.03127962576444311,0.13909629653702238,294.64755708443647,294.64988464926415,342.0187687806288,342.770787989644,0.0,342.7707879896441,342.77078797151796,294.6498868641243,True,6.144788397243246,0.48571519568980026,-0.4429735702127662,0.40002184177728406,0.004438745994886091,0.13065315954171586,-0.6406434421498683,0.4330727681293692,-0.013486861921097939,0.14688057844956134,-0.5354005728198156,0.19993008581397148,-0.03850942242150504,0.10364907184661246,0.0,261.47383337574723,212.63279296120544,325.75431183586085,308.4565920719677,0.0,306.5150473566697,329.12922027438265,216.99259134016054,5,13.0,0.5575505095255795,21.420562095142312,13.541759601222127,18.913621603157996,18.656552420775046,0.0,19.08579012326336,18.25483073552759,15.676612707712664
6,1,circle_xy,False,26,0.02,60,10,True,1299,0.7227762481544163,29.327420099754818,total_failure,5,100.0-100.0-100.0-100.0-100.0-0.0-100.0-100.0,-0.7094854032440197,0.7166717756888142,-0.01234057110173335,0.17513436223537365,-0.6896399797806507,0.5927795582308009,-0.01057264984999668,0.18407602255630176,-0.2958911357103924,0.7395886282180762,-0.000545747273682258,0.13328786700547865,270.94623453123194,276.00833998171044,270.94623375508667,327.7871423471833,336.21165573175887,0.0,317.8263968083742,340.45436725745805,True,5.966972897876985,0.40909488143637374,-0.3188300774482293,0.15193254092332578,0.0008063856173422005,0.10462262796111763,-0.6469636752432724,0.25034075761010877,-0.014040966506114161,0.13190574806906524,-0.08452508317924515,0.08549234812247172,-0.010559481655530755,0.021541074916550523,0.0,215.42834947271373,267.5972987946517,212.8245960982813,324.03801018367676,313.6765050211558,0.0,310.17583808392175,326.8030463055215,5,13.0,0.5393089851224316,14.63340111101132,15.63997920676806,15.282894959362284,19.512612451902466,21.61615656757905,0.0,21.0169048481565,19.269063929724652
7,1,circle_xy,False,26,0.02,60,10,True,1299,0.4225684045363321,31.962148900260217,total_failure,6,100.0-100.0-100.0-100.0-100.0-100.0-0.0-100.0,-0.2165472978818755,0.14078332275302533,0.00023747031247250714,0.09899600468260787,-0.7011028495878806,0.2796875579951749,-0.013835573979418349,0.1380133469217987,-0.20162852216391022,0.03059326646358629,-0.013170571930159324,0.036512944804510124,322.01153409024596,208.2577045979876,259.94466161725353,209.49228316597964,323.24041480307955,304.27188546617657,0.0,305.058931489033,True,7.942222798825242,0.4444771906370557,-0.36135946048182704,0.17520799250738917,0.0009005370051480564,0.11239671363599975,-0.6406004894882672,0.30682084279176525,-0.01182325251585897,0.13608424052451504,-0.2217384823053905,0.10926240630127979,-0.015464919845192087,0.0474032039493486,0.0,326.4614176339346,210.47437915734866,266.0396775790158,208.6981785267144,327.06629901635864,308.1216831754019,0.0,308.8604287130439,5,13.0,0.16706617386666817,5.759309401795206,3.7552217618317085,5.097102873937411,4.161693015918404,5.769458718094814,5.881928985345604,0.0,5.885227230857436
8,1,circle_xy,False,26,0.02,60,10,True,1299,0.6342049308833062,28.46973570191767,total_failure,7,100.0-100.0-100.0-100.0-100.0-100.0-100.0-0.0,-0.6948229680722503,0.3362435009955639,-0.01109671223891138,0.14987612348780274,-0.700617302682666,0.5374137626021853,-0.01582223874943852,0.18410201140414553,-0.35091798618495285,0.542710766863507,-0.003381505510432211,0.11006070408174079,326.7034092415361,324.76338193291537,270.9462339661779,272.51929053360163,270.9462352563391,328.3752783089355,319.3464240253625,0.0,True,5.931163998437114,0.43212619482038733,-0.44991595937677376,0.24474693480694285,-0.006246524309083961,0.13124716396909816,-0.6377128284805239,0.2890595678213191,-0.011296442508235324,0.14177643581684818,-0.14362255831033363,0.42388769539384163,-0.008946110387984322,0.07695933230182171,0.0,306.53610914385894,310.631992385556,204.4870766858363,259.7482986007443,210.0040911082769,311.4379926688531,302.2562921624972,0.0,5,13.0,0.3695962570894255,13.088712451470997,13.011440663785134,10.042169333297647,11.290582406797686,9.86028831550197,12.625541567874352,14.067508241701749,0.0
1,1,lissajous_xy,False,30,0.02,60,10,True,1499,0.19975762945030173,36.68449229944963,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.4289720341519931,0.7028319239271812,-0.0017478993466627556,0.1304255261437183,-0.23014734722895122,0.14737316688543545,0.0023743394675559675,0.10224221263103368,-0.5451588569512651,0.07141895060954292,-0.020914697195248952,0.09519997074880002,0.0,342.770787989644,311.31070006704005,294.6498862046419,294.6475583442902,294.6498870148711,316.29408049975285,342.770787989644,True,6.385323899332434,0.24204909518010378,-0.3320886187181461,0.1652522371323457,-0.004334051860539844,0.06574973884957577,-0.2565691943136017,0.1599003633939272,0.0013995367879577727,0.09999931964258241,-0.05983000924822581,0.017390169095521775,-0.020087357656203068,0.021633748455521316,0.0,0.0,276.16030544954714,298.72817305237083,191.75530612632326,238.14020612583224,194.45151834259963,297.17285493182646,279.56390947716534,3,10.0,0.26243729655475717,0.0,13.968818201986933,11.922058697385268,15.306801985770585,12.037165758170465,12.758427087906162,13.37866154010868,14.304626416415372
2,1,lissajous_xy,False,30,0.02,60,10,False,nan,nan,nan,total_failure,1,100.0-0.0-100.0-100.0-100.0-100.0-100.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,7.021009901654907,0.26434651923697694,-0.3459279302441312,0.21616995368476621,-0.0050192468262035906,0.06996094072858133,-0.19185878191127462,0.17064351539277145,0.0012961574679392137,0.10340293015256621,-0.038428331220705485,0.11035758539593762,0.022657810155890194,0.02942056471933702,0.0,280.3528173902682,0.0,279.72920170677565,297.1473578620719,195.21531936992724,241.66768165357252,189.5857162923633,297.61039664165725,3,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
