sim_id,trajectory_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation_mode,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_mean_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),mpc_max_omega0,mpc_max_omega1,mpc_max_omega2,mpc_max_omega3,mpc_max_omega4,mpc_max_omega5,mpc_max_omega6,mpc_max_omega7,nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi (rad),nn_max_phi (rad),nn_mean_phi (rad),nn_std_phi (rad),nn_min_theta (rad),nn_max_theta (rad),nn_mean_theta (rad),nn_std_theta (rad),nn_min_psi (rad),nn_max_psi (rad),nn_mean_psi (rad),nn_std_psi (rad),nn_min_omega_squared,nn_max_omega0,nn_max_omega1,nn_max_omega2,nn_max_omega3,nn_max_omega4,nn_max_omega5,nn_max_omega6,nn_max_omega7,radius (m),period (s),inter_position_RMSe,RMSe_u0,RMSe_u1,RMSe_u2,RMSe_u3,RMSe_u4,RMSe_u5,RMSe_u6,RMSe_u7
1,1,point_failure,False,25,0.02,60,10,True,1249.0,11.520000334697949,43.574182300042594,total_failure,0-1,0.0-0.0-100.0-100.0-100.0-100.0-100.0-100.0,-6.043145457371284,1.1903953301869374,-0.09862410447688279,0.6713694566303299,-1.254305037335762,0.7057057362866651,-0.01836283796727621,0.34820590958359016,-2.5712888739231414,1.244809456371745,0.17177802766633868,0.7966627235145031,0.0,0.0,342.7707879896441,342.7707879896441,310.0834520562205,267.97763176014195,342.7707879896441,342.7707879896441,True,2.759096800495172,6.798128833370668,-1.1675331354856398,0.6706220590935295,0.00952041156467482,0.32742776214705,-0.8032563523063652,0.7244699841729555,-0.004658469815575373,0.28243135316110507,-1.2138282179156885,1.248169930594188,-0.010639345336470438,0.5148283671468475,0.0,0.0,0.0,342.7707879896441,341.959956125362,202.33479567801982,211.21482747107424,339.9623060697482,342.7707879896441,nan,nan,5.879287319723141,0.0,0.0,21.471285405651297,43.771372845259705,64.90863858698386,60.78040463279038,33.00829780307265,21.80345915471643
2,1,point_failure,False,25,0.02,60,10,False,nan,nan,nan,total_failure,0-2,0.0-100.0-0.0-100.0-100.0-100.0-100.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,1,point_failure,False,25,0.02,60,10,True,1249,0.15193429378156934,24.69769069974427,total_failure,0-3,0.0-100.0-100.0-0.0-100.0-100.0-100.0-100.0,-0.43934755345727095,0.28813704389647654,-0.0005687961736242815,0.050622140872017087,-0.6947902342759864,0.4865006223955945,-0.0009183887000022915,0.09291404624202035,-0.011324471690550347,0.15281074899549463,0.0014926650103100887,0.012818705585972838,0.0,318.5575838174811,313.1719656841718,0.0,269.217685546842,268.60172182477504,268.61527218071524,257.51159212788,True,3.2140626002510544,0.0654682707113828,-0.15417127847977083,0.12470539314921925,-0.00010468881469584281,0.024868416774390972,-0.31777115692604685,0.3239768512790131,-0.00025609178632397366,0.05099911031352168,-0.04711296671408436,0.024426169618999235,-0.008175631643166101,0.008318158554588539,0.0,0.0,288.82955923588224,285.6116466208031,0.0,247.2659287138433,241.355101110587,242.62453597838513,247.86404105026403,nan,nan,0.09923628690246833,0.0,5.768881492137117,3.2728702869929247,0.0,9.453459271047755,7.664545301634279,9.205097130370694,11.813975580533898
4,1,point_failure,False,25,0.02,60,10,True,1249,0.00889861203959152,24.87383419991238,total_failure,0-4,0.0-100.0-100.0-100.0-0.0-100.0-100.0-100.0,-5.764497129229288e-09,2.8544552068264708e-09,-6.757952420920316e-11,8.343002900170484e-10,-1.8664929743073476e-08,1.7042285406528387e-08,-4.110635646376071e-11,2.567461316980594e-09,-0.5387776922758852,0.05211280709448673,-0.024255909821830304,0.10049262563186886,0.0,257.08711049377064,322.5893528504957,257.0871125469911,0.0,257.0871117977533,322.5893536548914,257.08711379121996,True,3.5692965999769513,0.04146905937302343,-0.021612308459418535,0.023032846602350446,-0.00012662778509492625,0.013745371891025948,-0.07072389662343004,0.0748958696011062,-0.0004489990804180203,0.043171264714654996,-0.1382296536196074,0.04089783441391358,-0.015322725178265557,0.02472591526195893,0.0,0.0,217.58020684719526,314.8132377437792,218.06001958817578,0.0,218.505455607733,314.0287298865442,218.8345526724029,nan,nan,0.04094675647425038,0.0,2.8815228779704114,2.636078958898663,2.7515743783065947,0.0,2.9943301084879175,2.6429559685444706,2.9555285876877084
5,1,point_failure,False,25,0.02,60,10,True,1249,0.15176096617653434,25.480867599137127,total_failure,0-5,0.0-100.0-100.0-100.0-100.0-0.0-100.0-100.0,-0.436821542669878,0.28682355306772095,-0.0006011073129428721,0.05048765795457727,-0.4868314333086705,0.695820519338771,0.0009031366889637425,0.09289921212129952,-0.14573287406918187,0.013810358701907057,-0.001166602675814019,0.011868941078594897,0.0,257.51153698130906,268.615328611234,268.6017776139508,269.2178164471968,0.0,313.5897411916831,318.1197846080163,True,3.023778799572028,0.06960539004407482,-0.1485953948775721,0.16448098111205953,-0.00020700189986436386,0.024285323656998564,-0.29625390079200986,0.3269708375163467,0.00027850901138803155,0.04960320155492062,-0.021977002634442768,0.012153264491980566,-0.009179216761602068,0.0030478361312587074,0.0,0.0,248.43029773817366,239.5246384063733,239.76958490878704,252.73005830857855,0.0,289.7924425484797,288.3697869535461,nan,nan,0.09261459217609098,0.0,10.704425481155456,8.405472676787369,7.142311224140845,8.595987344877315,0.0,3.2232337305430194,5.340064246679599
6,1,point_failure,False,25,0.02,60,10,False,nan,nan,nan,total_failure,0-6,0.0-100.0-100.0-100.0-100.0-100.0-0.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,1,point_failure,False,25,0.02,60,10,False,nan,nan,nan,total_failure,0-7,0.0-100.0-100.0-100.0-100.0-100.0-100.0-0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,3.7400405996013433,0.7290353550116848,-1.248064481607254,0.6193334354147374,-0.015558432036155142,0.29954746106268015,-0.2613624315331366,0.45907039325266835,0.010047444730812075,0.10569721623207563,-0.6856579659398547,0.13329211854844486,-0.0972081519545867,0.15445417477711046,0.0,0.0,342.7707879896441,338.5861017986692,202.33479567801982,205.15026422574329,339.23348103546203,342.7707879896441,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,1,point_failure,False,25,0.02,60,10,False,nan,nan,nan,total_failure,1-2,100.0-0.0-0.0-100.0-100.0-100.0-100.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,1,point_failure,False,25,0.02,60,10,False,nan,nan,nan,total_failure,1-3,100.0-0.0-100.0-0.0-100.0-100.0-100.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,1,point_failure,False,25,0.02,60,10,True,1249,0.15176212958822902,24.885075100377435,total_failure,1-4,100.0-0.0-100.0-100.0-0.0-100.0-100.0-100.0,-0.28682021440843547,0.4368099494128283,0.000601042349989416,0.05048644570006225,-0.695817827984211,0.4868338327288134,-0.0009032137471812829,0.09289972446924774,-0.14573069019272658,0.013801366782447876,-0.0011670625911288346,0.011869414386743755,269.21564226895515,0.0,313.5866922822136,318.1171608405121,0.0,257.5113152319562,268.6143228308941,268.6007544888623,True,2.9177373005077243,0.06518383081849748,-0.11579364476172987,0.11369195724460958,3.985706825268579e-05,0.019233548678671164,-0.2812684962552476,0.27365055136492766,-0.00026310853539515124,0.0441879866436192,-0.02968886269484617,0.0,-0.014903678957240004,0.0020093922923132067,0.0,250.3352435540243,0.0,284.01476963748433,286.04042019214774,0.0,248.8757454260964,239.6567877650422,237.34295652185654,nan,nan,0.10771039297119468,9.190224672186163,0.0,3.5978157985593864,6.115167490895162,0.0,11.922767044934025,9.48667514016189,7.789547697944463
