sim_id,trajectory_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation_mode,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_mean_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),mpc_max_omega0,mpc_max_omega1,mpc_max_omega2,mpc_max_omega3,mpc_max_omega4,mpc_max_omega5,mpc_max_omega6,mpc_max_omega7,nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi (rad),nn_max_phi (rad),nn_mean_phi (rad),nn_std_phi (rad),nn_min_theta (rad),nn_max_theta (rad),nn_mean_theta (rad),nn_std_theta (rad),nn_min_psi (rad),nn_max_psi (rad),nn_mean_psi (rad),nn_std_psi (rad),nn_min_omega_squared,nn_max_omega0,nn_max_omega1,nn_max_omega2,nn_max_omega3,nn_max_omega4,nn_max_omega5,nn_max_omega6,nn_max_omega7,radius (m),period (s),inter_position_RMSe,RMSe_u0,RMSe_u1,RMSe_u2,RMSe_u3,RMSe_u4,RMSe_u5,RMSe_u6,RMSe_u7
1,1,point_failure,False,25,0.02,60,10,True,1249.0,7.7721735463301105,37.13269109942485,total_failure,0-1,0.0-0.0-100.0-100.0-100.0-100.0-100.0-100.0,-3.656417462814345,1.3653527974525668,-0.09359122840977309,0.4508294584950765,-0.7071740675766108,1.5271207988312383,0.015019649044547487,0.2803524268853391,-1.1995945011937594,2.4324020187953206,-0.1049917928130254,0.574985412075824,0.0,0.0,342.770787989644,342.770787989644,270.94665584043923,270.94665585959734,342.770787989644,342.770787989644,True,3.23944320139708,6.798128833370668,-1.1675331354856398,0.6706220590935295,0.00952041156467482,0.32742776214705,-0.8032563523063652,0.7244699841729555,-0.004658469815575373,0.28243135316110507,-1.2138282179156885,1.248169930594188,-0.010639345336470438,0.5148283671468475,0.0,0.0,0.0,342.7707879896441,341.959956125362,202.33479567801982,211.21482747107424,339.9623060697482,342.7707879896441,nan,nan,5.785927814124318,0.0,0.0,18.737713543375705,32.38856895692622,48.76203566185594,42.91433986589429,25.232647540003878,22.12287841888487
2,1,point_failure,False,25,0.02,60,10,False,nan,nan,nan,total_failure,0-2,0.0-100.0-0.0-100.0-100.0-100.0-100.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,1,point_failure,False,25,0.02,60,10,True,1249,0.11043036211831607,27.457876800908707,total_failure,0-3,0.0-100.0-100.0-0.0-100.0-100.0-100.0-100.0,-0.26032606759623395,0.18754750490927594,-0.000476402470522162,0.031058212292772315,-0.544893318892151,0.36733812106895863,-0.0012001530724792828,0.07105542945731032,-0.002044270193007264,0.07213942001384993,0.0014778156240832063,0.0071701823766551894,0.0,294.5949239457212,294.07276755340797,0.0,270.94606330537204,270.94665585959467,270.9466558582307,270.9460633020829,True,3.4362602993496694,0.0654682707113828,-0.15417127847977083,0.12470539314921925,-0.00010468881469584281,0.024868416774390972,-0.31777115692604685,0.3239768512790131,-0.00025609178632397366,0.05099911031352168,-0.04711296671408436,0.024426169618999235,-0.008175631643166101,0.008318158554588539,0.0,0.0,288.82955923588224,285.6116466208031,0.0,247.2659287138433,241.355101110587,242.62453597838513,247.86404105026403,nan,nan,0.0614131240261638,0.0,2.3898573752247794,2.041755350764415,0.0,2.802395136676316,2.5192194584617806,2.5343756770354333,3.0296506061904167
4,1,point_failure,False,25,0.02,60,10,True,1249,0.08609798438555269,27.959124502085615,total_failure,0-4,0.0-100.0-100.0-100.0-0.0-100.0-100.0-100.0,-1.4384592687404607e-13,1.2260757658924684e-13,-8.250144553056918e-16,2.5928746335769612e-14,-8.145964860802958e-14,7.17016761278499e-14,6.168721641675323e-17,1.286955003928177e-14,-0.3562759541750031,0.04302873384038641,-0.0160757958531946,0.06724196651694472,0.0,226.72642408800442,337.27891515517956,226.72642408799396,0.0,226.72642408800462,337.2789151551785,226.72642408799646,True,3.8259425000287592,0.04146905937302343,-0.021612308459418535,0.023032846602350446,-0.00012662778509492625,0.013745371891025948,-0.07072389662343004,0.0748958696011062,-0.0004489990804180203,0.043171264714654996,-0.1382296536196074,0.04089783441391358,-0.015322725178265557,0.02472591526195893,0.0,0.0,217.58020684719526,314.8132377437792,218.06001958817578,0.0,218.505455607733,314.0287298865442,218.8345526724029,nan,nan,0.08828772023848641,0.0,3.229596452438879,7.115897907672324,3.2537562262347994,0.0,3.212590960459568,7.153472017112003,3.2932906162623907
5,1,point_failure,False,25,0.02,60,10,True,1249,0.11042259322678093,27.922604802879505,total_failure,0-5,0.0-100.0-100.0-100.0-100.0-0.0-100.0-100.0,-0.260350225370695,0.18785733418037825,-0.00048292092060659266,0.031070147079220598,-0.3675896021227834,0.5451976193906112,0.0011975605449544653,0.07110703687271241,-0.0716929348356718,0.0024358510953050227,-0.0015170015817887684,0.007219523893566436,0.0,270.94606330208893,270.94665585823947,270.9466558595946,270.94606330536556,0.0,294.3441564016431,294.2939033851718,True,3.467442200402729,0.06960539004407482,-0.1485953948775721,0.16448098111205953,-0.00020700189986436386,0.024285323656998564,-0.29625390079200986,0.3269708375163467,0.00027850901138803155,0.04960320155492062,-0.021977002634442768,0.012153264491980566,-0.009179216761602068,0.0030478361312587074,0.0,0.0,248.43029773817366,239.5246384063733,239.76958490878704,252.73005830857855,0.0,289.7924425484797,288.3697869535461,nan,nan,0.05460288111784529,0.0,3.6519536845364593,3.0743881663860075,2.87174487895769,2.9162160666681616,0.0,2.321460768161457,2.253833155678842
6,1,point_failure,False,25,0.02,60,10,False,nan,nan,nan,total_failure,0-6,0.0-100.0-100.0-100.0-100.0-100.0-0.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,1,point_failure,False,25,0.02,60,10,True,1249,6.549864345450504,39.428648898610845,total_failure,0-7,0.0-100.0-100.0-100.0-100.0-100.0-100.0-0.0,-3.6426386005768565,1.2887776951926102,-0.036526633390583416,0.4427710694429278,-1.5072786955151762,0.5653103281693918,-0.030041585344927468,0.2532318191100133,-2.295616801712861,1.1787086118199204,0.09355682066923543,0.47488288596612444,0.0,342.770787989644,342.770787989644,270.94665585959496,270.94665584043383,342.7707879896441,342.770787989644,0.0,True,3.76367770077195,0.7290353550116848,-1.248064481607254,0.6193334354147374,-0.015558432036155142,0.29954746106268015,-0.2613624315331366,0.45907039325266835,0.010047444730812075,0.10569721623207563,-0.6856579659398547,0.13329211854844486,-0.0972081519545867,0.15445417477711046,0.0,0.0,342.7707879896441,338.5861017986692,202.33479567801982,205.15026422574329,339.23348103546203,342.7707879896441,0.0,nan,nan,6.2261329161324666,0.0,21.713607989193658,31.526736849611822,44.29382028662356,53.7246250110471,34.79815512265672,19.685936411096286,0.0
8,1,point_failure,False,25,0.02,60,10,False,nan,nan,nan,total_failure,1-2,100.0-0.0-0.0-100.0-100.0-100.0-100.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,1,point_failure,False,25,0.02,60,10,False,nan,nan,nan,total_failure,1-3,100.0-0.0-100.0-0.0-100.0-100.0-100.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,1,point_failure,False,25,0.02,60,10,True,1249,0.11040703516528393,25.80179050163133,total_failure,1-4,100.0-0.0-100.0-100.0-0.0-100.0-100.0-100.0,-0.18764580213974816,0.26015750705074464,0.00048448502632618835,0.03103748449947249,-0.5448809670109014,0.3671688601277121,-0.001201043746663588,0.0710397900102239,-0.07159569802381184,0.0024291016409979838,-0.0015144766697119997,0.007207232574880646,270.9460633053529,0.0,294.3723645770537,294.323840619888,0.0,270.94606330205823,270.9466558582179,270.94665585959075,True,3.921588398050517,0.06518383081849748,-0.11579364476172987,0.11369195724460958,3.985706825268579e-05,0.019233548678671164,-0.2812684962552476,0.27365055136492766,-0.00026310853539515124,0.0441879866436192,-0.02968886269484617,0.0,-0.014903678957240004,0.0020093922923132067,0.0,250.3352435540243,0.0,284.01476963748433,286.04042019214774,0.0,248.8757454260964,239.6567877650422,237.34295652185654,nan,nan,0.07134175557867398,2.9060334007843305,0.0,2.518095510773676,2.4391654246584973,0.0,2.9992025959916915,2.839963468779741,2.930348723553363
