sim_id,trajectory_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation_mode,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_mean_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),mpc_max_omega0,mpc_max_omega1,mpc_max_omega2,mpc_max_omega3,mpc_max_omega4,mpc_max_omega5,mpc_max_omega6,mpc_max_omega7,nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi (rad),nn_max_phi (rad),nn_mean_phi (rad),nn_std_phi (rad),nn_min_theta (rad),nn_max_theta (rad),nn_mean_theta (rad),nn_std_theta (rad),nn_min_psi (rad),nn_max_psi (rad),nn_mean_psi (rad),nn_std_psi (rad),nn_min_omega_squared,nn_max_omega0,nn_max_omega1,nn_max_omega2,nn_max_omega3,nn_max_omega4,nn_max_omega5,nn_max_omega6,nn_max_omega7,radius (m),period (s),inter_position_RMSe,RMSe_u0,RMSe_u1,RMSe_u2,RMSe_u3,RMSe_u4,RMSe_u5,RMSe_u6,RMSe_u7
1,1,point_failure,False,25,0.02,60,10,True,1249.0,0.6409485534628105,30.58720490039559,total_failure,0-1,0.0-0.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.5061620614269118,0.6662275306005522,-0.005351144247892203,0.15514975816635024,-0.5090583546311235,0.33211683923996166,-0.009939487405745628,0.09151908591321513,-0.4750108459934724,1.056200213803315,0.02148200011571132,0.21807407208735996,202.33479567801982,202.33479567801982,342.770787989644,342.770787989644,270.94665584043923,270.94665585959734,342.770787989644,342.771919901244,True,3.399353000248084,0.2747476776035517,-0.292709995618997,0.2010908808396307,-0.009327038663697957,0.16349234363731452,-0.08342695310974356,0.07086760186785716,-0.0022179510259517344,0.049486766575467786,-0.07622539791778209,1.1486949764025741e-34,-0.049503109277350896,0.01185481802935907,0.0,202.33479567801982,202.33479567801982,325.7293821950946,303.21712996091827,202.33479567801982,202.33479567801982,302.4078947955916,328.4750544821493,nan,nan,0.666774083930506,0.0,0.0,15.90357094270706,27.38356869273835,37.7584155185447,35.982226003168016,26.282526061364724,15.853929561041138
2,1,point_failure,False,25,0.02,60,10,False,nan,nan,nan,total_failure,0-2,0.0-100.0-0.0-100.0-100.0-100.0-100.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,1,point_failure,False,25,0.02,60,10,True,1249,0.037403536611125034,26.818597500241594,total_failure,0-3,0.0-100.0-100.0-0.0-100.0-100.0-100.0-100.0,-0.10382812648273973,0.10331189806397537,-7.04195873056135e-05,0.015037779894047846,-0.22919413907444844,0.1960299542316894,-0.00018955035366506062,0.03281441110280402,-0.0006686882196720813,0.011614628152987264,0.00033426082785130586,0.0014912485267555829,202.33479567801982,281.37304094384507,281.3935130918427,202.33479567801982,270.94606330537204,270.94665585959467,270.9466558582307,270.9460633020829,True,2.987973698793212,0.025549372189101287,-0.05347493497910402,0.04487207404438414,-3.258729169214598e-05,0.013599572436041906,-0.10999423427668156,0.08246265786217095,-1.909688638647162e-05,0.020258383535583957,-0.012404416348891454,0.00012964608545555997,-0.00778463689239089,0.0016525168463639613,0.0,202.33479567801982,279.69699183710605,278.8441303302168,202.33479567801982,242.68637842709603,231.19293330210368,231.7190147549994,242.71830607528486,nan,nan,0.05201230549847423,0.0,1.9624285052178372,1.6149805719014168,0.0,2.646283997928503,2.496427260014364,2.793560275445503,3.186311478157452
4,1,point_failure,False,25,0.02,60,10,True,1249,0.15720001378245332,65.03812710018246,total_failure,0-4,0.0-100.0-100.0-100.0-0.0-100.0-100.0-100.0,-3.620038836185616e-12,2.7950718874111944e-12,-1.471688669498327e-14,4.220818390771383e-13,-8.081705465384988e-13,5.797118132970523e-13,-3.226742392498484e-15,8.84931034494824e-14,-0.12668762804878503,0.02334799919943542,-0.005096866213726279,0.023853689561519134,202.33479567801982,240.70936901206696,342.7707875689255,240.70936901185027,202.33479567801982,240.7093690120295,342.7707875689255,240.7093690118298,True,4.841691800218541,0.04516834119830091,-0.021025606813472212,0.02042795020541249,8.538644487502123e-05,0.013884454743152969,-0.07133950502726971,0.08806528753801639,0.0004504336704537819,0.04474163887426911,-0.02216373488639543,0.0006115173639844218,-0.012202623764418151,0.002787071322818633,0.0,202.33479567801982,217.58020684719526,308.378573218791,217.99550815677452,202.33479567801982,218.505455607733,307.55769542740467,218.8345526724029,nan,nan,0.16750828365084963,0.0,8.229394386464707,12.690175318390656,8.287703139131898,0.0,8.258821132456317,12.709032167050784,8.329836646834831
5,1,point_failure,False,25,0.02,60,10,True,1249,0.0374066682460192,40.27498779981397,total_failure,0-5,0.0-100.0-100.0-100.0-100.0-0.0-100.0-100.0,-0.10391047167091923,0.1035575383924661,-6.7628175383679e-05,0.015054919123771507,-0.19636810984265976,0.2295250567285004,0.00018870985495356304,0.03288132127642845,-0.011322247697743199,0.0006157349902811155,-0.00036515594702564577,0.0015913137415307845,202.33479567801982,270.94606330208893,270.94665585823947,270.9466558595946,270.94606330536556,202.33479567801982,281.3372013887508,281.3720001960481,True,4.024001699668588,0.02754127834428803,-0.037898304056125445,0.03835154989122088,1.1077816642039512e-05,0.006731245542281051,-0.05827342585743927,0.0767060598867067,-1.4018718771931365e-05,0.012591452429214743,-0.016966187200523595,0.00020913179866245845,-0.009163052237275182,0.002025582019059613,0.0,202.33479567801982,241.23563538486098,232.54935049091227,231.98174799886183,242.27397776357355,202.33479567801982,278.4660936657881,279.28811961613013,nan,nan,0.05270894109812309,0.0,4.307763653437479,3.403021559667217,2.9112316989459304,3.515993730207107,0.0,1.5900463083262726,2.211775588282349
6,1,point_failure,False,25,0.02,60,10,False,nan,nan,nan,total_failure,0-6,0.0-100.0-100.0-100.0-100.0-100.0-0.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,1,point_failure,False,25,0.02,60,10,True,1249,0.6212650668879477,46.81724839960225,total_failure,0-7,0.0-100.0-100.0-100.0-100.0-100.0-100.0-0.0,-1.4883003337324414,0.6584726970608941,-0.005080693315381769,0.15379652414262276,-0.26400582967070846,0.535669136307758,0.011463906249059621,0.09001326155041761,-1.1292391778398176,0.5153806493344638,-0.022167978831992063,0.228504035338808,202.33479567801982,342.77189444837205,342.770787989644,270.94665585959496,270.94665584043383,342.7707879896441,342.770787989644,202.33479567801982,True,4.64201019963366,0.5183668832289733,-0.9302844839612241,0.4155221482387825,-0.014710017365211246,0.25999976855680923,-0.18097482811550292,0.36837756356801155,0.006219555099592199,0.07992200598442926,-0.34084312490883356,0.05182196629876773,-0.040122650886769806,0.04234486942355253,0.0,202.33479567801982,335.65773274698165,319.9097697271378,202.33479567801982,202.33479567801982,318.90955673701416,340.397530749319,202.33479567801982,nan,nan,0.781846619705787,0.0,17.991579026197662,27.576265210062374,35.41892054331543,38.31158999182143,31.118048334915525,16.91109647629293,0.0
8,1,point_failure,False,25,0.02,60,10,True,1249,0.7023662630049248,38.90329700123402,total_failure,1-2,100.0-0.0-0.0-100.0-100.0-100.0-100.0-100.0,-1.3846193782777911,0.7098560032929961,-0.00036529744813990636,0.13347616490466926,-1.1314456347609927,0.47592754490258443,-0.011010899845442262,0.13630078567093787,-0.4575330950902845,0.9272811752523108,0.014193856120807206,0.19111846093395887,342.77177321413853,202.33479567801982,202.33479567801982,342.770787989644,342.7707879896441,270.94665585959507,270.9466558404346,342.770787989644,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,1,point_failure,False,25,0.02,60,10,False,nan,nan,nan,total_failure,1-3,100.0-0.0-100.0-0.0-100.0-100.0-100.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,1,point_failure,False,25,0.02,60,10,True,1249,0.038594985772629986,28.902690599410562,total_failure,1-4,100.0-0.0-100.0-100.0-0.0-100.0-100.0-100.0,-0.11030736785899217,0.10815627402174413,2.675560576477666e-05,0.016017088129729608,-0.23869798930592623,0.2079416897729405,-9.435923137350394e-05,0.03489103941616263,-0.012765334651221177,0.0007144708262363457,-0.00042044318509747917,0.001807922464004864,270.9460633053529,202.33479567801982,280.55408138479265,280.4978904658463,202.33479567801982,270.94606330205823,270.9466558582179,270.94665585959075,True,2.614652999356622,0.03843865223222722,-0.021080304464305016,0.02924137012222568,2.690445573753671e-06,0.00524131269068462,-0.07689274964844123,0.059309040221606504,2.3544889228568695e-06,0.013445550052175346,-0.01741318098912484,0.0,-0.014404048173675653,0.0023606094007620725,0.0,241.6214817423824,202.33479567801982,278.2663954954422,278.4796855729123,202.33479567801982,241.4883320573483,231.90001775191394,231.43407218554387,nan,nan,0.058769252374239536,2.8123220737372363,0.0,1.4432488876534595,1.5777865777963753,0.0,3.0192880613220163,2.5897413273269887,2.5190783452215704
