sim_id,trajectory_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation_mode,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_mean_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),mpc_max_omega0,mpc_max_omega1,mpc_max_omega2,mpc_max_omega3,mpc_max_omega4,mpc_max_omega5,mpc_max_omega6,mpc_max_omega7,num_iterations_2,mpc_execution_time_2,mpc_RMSe_2,mpc_min_phi_2,mpc_max_phi_2,mpc_mean_phi_2,mpc_std_phi_2,mpc_min_theta_2,mpc_max_theta_2,mpc_mean_theta_2,mpc_std_theta_2,mpc_min_psi_2,mpc_max_psi_2,mpc_mean_psi_2,mpc_std_psi_2,mpc_max_omega0_2,mpc_max_omega1_2,mpc_max_omega2_2,mpc_max_omega3_2,mpc_max_omega4_2,mpc_max_omega5_2,mpc_max_omega6_2,mpc_max_omega7_2,nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi (rad),nn_max_phi (rad),nn_mean_phi (rad),nn_std_phi (rad),nn_min_theta (rad),nn_max_theta (rad),nn_mean_theta (rad),nn_std_theta (rad),nn_min_psi (rad),nn_max_psi (rad),nn_mean_psi (rad),nn_std_psi (rad),nn_min_omega_squared,nn_max_omega0,nn_max_omega1,nn_max_omega2,nn_max_omega3,nn_max_omega4,nn_max_omega5,nn_max_omega6,nn_max_omega7,radius (m),period (s)
1,1,circle_xy,False,10.0,0.02,60,10,True,499,3.1334271341028384,12.741876799613237,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.8713999751101439,0.4058296833286954,-0.006752934335940895,0.17140971578680453,-0.22510524699493117,0.1588828708689973,0.0004766163120902399,0.07117668239929795,-0.45247293336778666,0.08536903993627373,-0.0459106562492905,0.1295408012359038,0.0,329.03228557631905,297.2835644887961,270.9462361431026,270.9466558595845,270.9462360878415,293.97323201680535,329.0323612235821,499,11.270652201143093,3.134691928966615,-1.3342060979931498,0.44600305686238584,-0.032347313465775226,0.2722686763313299,-0.2678934306659417,0.4180563417873388,0.013203830712529382,0.11051677053507385,-0.6229890893870174,0.15280187382516286,-0.0626387678714435,0.18583288522075492,0.0,337.7973197664353,342.77078787177436,270.94623531387356,307.5242118337444,270.9462352583723,342.77076848221213,337.6482827202093,True,2.189239301835187,3.115602712807175,-0.741032721892153,0.4212770435884685,-0.005551999984916351,0.24022179874917987,-0.08135016211561782,0.18135520945005223,0.006902804532486414,0.04346231059408115,-0.19314880245753524,0.0,-0.09520010206999563,0.047302468289295914,0.0,0.0,280.4431367663879,297.0649290564292,209.56976710758858,250.6136000582622,211.61623191561273,295.0535490165076,283.62719931841275,3.0,0.2
2,2,circle_xy,False,10.0,0.02,60,10,True,499,3.1227106962334337,13.839380700374022,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.6994729850595147,0.32389917957564984,-0.009793134183467082,0.16120335689542187,-0.10156280995054462,0.13289844210548035,0.0030275306765334647,0.0391626249111968,-0.2635244511266499,0.03979172903480273,-0.03462469375336593,0.08016787954552376,0.0,296.2551057310838,315.595796530335,206.2309670445727,260.4932855401313,206.82171601050115,316.2305425202239,295.8009237120122,499,11.870209898916073,3.411339475553297,-2.165403327531226,0.8292079457542579,-0.07431850902541227,0.4287326773514188,-0.6805190594045919,0.3761662475116889,-0.00884007508144821,0.19748260232693243,-0.8504554952810363,0.327284109115201,-0.1600189481814319,0.2661783689508135,0.0,342.77078766940974,342.7707876959387,305.4097638065877,342.77076849965334,305.4098368383505,342.77078745309694,342.77078741413493,True,3.139502799604088,3.132481053379781,-0.7922895546580926,0.6276545789112433,-0.021992290649895118,0.28919515452880884,-0.154123956288486,0.20851029165717277,0.009430418854459045,0.06636612438060183,-0.30826896649161584,0.0,-0.13690206002212202,0.07723252099192635,0.0,0.0,283.61387807404606,294.7595296774707,232.7815910074717,256.20805960929846,230.5005655853975,293.29580111279313,286.67293843232574,3.0,0.5
3,3,circle_xy,False,10.0,0.02,60,10,True,499,3.157938739131948,14.019815800944343,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.699838914979669,0.44931992038517354,-0.008068127586868496,0.16541449290438778,-0.1462771704181206,0.1511559273507877,0.0027019455046464994,0.06006170820220334,-0.1694892004178365,0.0016911664308864342,-0.04283234454624513,0.045075547332392225,0.0,303.3007587248343,321.2651629830348,207.81577988480507,262.110646235881,206.7150814137747,318.6740758470447,302.3162434605803,499,13.079791699070483,3.2008089488566527,-1.1850117329882004,0.7543127634325099,-0.023983936162171513,0.34505195438862646,-0.6308577140048,0.5586188939657432,0.02133423472557703,0.26203516486573625,-1.212413351292762,0.1107967847163307,-0.48688788036259495,0.2354939202823828,0.0,342.27272255061416,342.7707804595565,229.87226966747835,314.7656539980858,219.0842745881515,341.0348017201327,332.9239766658334,True,2.7469006992178038,3.1450912127665007,-0.8949274311712265,0.5409583143442507,-0.004836985736117958,0.2782046153564759,-0.1845078792888723,0.1850465378126218,0.006979150473323105,0.08054562209555183,-0.39804987069172365,0.0,-0.19846404413813054,0.0852775436988994,0.0,0.0,296.2518141445652,298.41591702951285,224.95173682277684,275.26302082433466,222.33923636436816,294.93915055613377,296.7774998309591,3.0,0.8
4,4,circle_xy,False,10.0,0.02,60,10,True,499,3.1198426604627367,15.382348300423473,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.72915771122853,0.5993689296712351,-0.015416193375165435,0.2822555753042387,-0.45773449672323996,0.49651153963159583,0.006313007572717453,0.24591355265367662,-0.8134294668230002,0.0,-0.36435019858127493,0.14886773229291259,0.0,318.20253341527473,315.31009175170175,270.9464317365027,270.9466558595843,270.9464318304261,310.2272616750154,318.2028933610153,499,15.575786599772982,36.4564343839929,-2.284866867987966,6.918452429254448,0.7450265846725105,1.5993038140616798,-1.4732334544327157,1.2052801749543371,-0.02736060711613912,0.6448872134374031,-10.973875597558944,0.0984305353556045,-3.693820054339302,3.1043333222160605,0.0,342.770787989644,342.770787989644,342.770787989644,342.7707879896441,336.70337408403356,342.770787989644,342.770787989644,True,3.0716057993704453,3.092335128742111,-0.8559403391439032,0.538057077398377,-0.013111425865907906,0.2845871041540065,-0.39283770268854123,0.4949538381863917,0.011212969897100678,0.2081219695155115,-0.7260248755995379,0.0,-0.3059908531905728,0.12763962504067786,0.0,0.0,292.04523197742543,315.3512473145092,224.66344851911157,258.6135738357531,225.72523379730413,310.537732858073,296.9563913492631,3.0,1.0
5,5,circle_xy,False,10.0,0.02,60,10,True,499,3.2192011949952253,17.901849998510443,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.8758301253355039,0.7002476091216889,-0.03209173238766294,0.4490852430668712,-0.7480474553285779,0.7687478548886633,0.01904237998128011,0.4478833190901267,-1.3006623487917293,0.6887073072041705,-0.5278967545944536,0.49937317869776365,0.0,312.34706652234183,342.770787989644,269.5826549348492,294.3846571983245,240.57336424952925,342.770787989644,317.61589775022185,499,14.707692100317217,41.155254904912155,-0.9533366591227831,6.749958018245538,0.9305556443848428,1.356625062825958,-1.4362076624681899,1.5240582714482898,0.0012591550414307448,0.6216888102402162,-9.802461972817731,3.362981762900811,-2.3536459014752262,3.148451266301019,0.0,342.77078798964396,342.7707879896439,342.770787989644,342.77078798933394,342.7707879896441,342.7707879896438,342.770787989644,True,2.752834399114363,3.36338157284963,-0.7682626105320313,0.7512522335142976,0.0018484549639479085,0.4792362667123512,-0.775697995754571,0.7445881774507026,-0.005179340890548685,0.43133777086844294,-1.0841644861430948,0.0,-0.735879491970031,0.24451363399132467,0.0,0.0,314.1448567096026,324.25899696562146,218.58916009942894,280.9641809847663,224.4444548125266,326.3804616248374,318.6231898484125,3.0,1.2
6,6,circle_xy,False,10.0,0.02,60,10,True,499,3.267314121359486,15.227057299925946,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7153210008133432,0.7088538252213951,-0.015698334827733654,0.5273966331051305,-0.7148359866909342,0.7130273302237154,0.0285316296139007,0.4719865399802027,-1.2251833144575435,0.0,-0.7684243506609412,0.29859751918906363,0.0,313.0344028913883,333.42480350901525,233.1435085252338,292.6681809563436,237.6684308245742,342.7707798308122,318.8206211474369,499,16.46211499918718,48.45464353085961,-1.8359661959134776,6.890236674024151,1.157275943477229,1.7219990784761685,-1.5545924088798082,1.3534025991971568,-0.18218689173019378,0.5415728136311084,-11.460546611400483,1.824675650572883,-2.2851648162370655,2.321532633894827,0.0,342.770787989644,342.7707879896439,342.770787989644,342.7707879896441,309.73779872955095,342.770787989644,342.770787989644,True,2.9965027986327186,3.3297104272765505,-0.8068938989351409,0.725521447529375,-0.03097880364181035,0.4967202756348682,-0.7651464883086161,0.7589501492587923,-0.04072876147807771,0.46153055949563426,-1.3248236709667764,0.20882389633779683,-0.5703114944734391,0.40430294530198346,0.0,0.0,321.39445687578154,343.8617347034387,231.12033681431572,294.0051602040497,233.9657177412747,329.8436152604739,324.80268734956087,3.0,1.5
7,7,circle_xy,False,10.0,0.02,60,10,True,499,3.213177932799172,16.239996800315566,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7174074263191832,0.7158590058734793,-0.008933332384510525,0.5510853953893317,-0.7112513981403985,0.7111572968640104,0.020237838544024372,0.506318691132963,-1.2111145844081663,0.0,-0.7714124833787127,0.23801887845073358,0.0,340.8078140815076,341.1499657534535,244.32373509219448,307.7228763855097,248.51309374435067,342.0629172660932,328.71646251022855,499,17.043675000430085,26.61380850284874,-9.29534847103926,1.2363533289402315,-1.2204804616971021,2.1039443612534816,-1.3999435590392748,1.4562269779462915,0.08160563449121938,0.5554164309399453,-5.670245581132372,15.181303248977338,-0.3987865615086415,3.163613585412704,0.0,342.770787989644,342.77078798964163,342.77078156321807,342.77078779151987,316.3217231420687,342.7707879778717,342.770787989644,True,2.5271383989602327,3.230949440743349,-0.7287938812523318,0.7860353623601241,0.00983933934065391,0.5120566161139802,-0.7602258274956135,0.7281833194492056,0.013625528345924433,0.49883612736691374,-1.2860772150351831,0.04157721909797224,-0.6408069413781026,0.3117342237752883,0.0,0.0,330.68735800612365,338.30247756746513,228.06374636864206,298.6011668872554,231.5025129721316,330.3894931777209,329.3282175180525,3.0,1.8
8,8,circle_xy,False,10.0,0.02,60,10,True,499,2.983577180903093,16.995767699321732,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.4287622212716202,0.7178129614091533,0.006997425950712484,0.5550647562987459,-0.7108652722915688,0.710201007498056,-0.016822545763705857,0.5283266190278791,-1.0814406959772218,0.0,-0.671557019739405,0.23248619179015206,0.0,342.770787989644,340.54428427707194,294.64988807703486,294.64756092512886,294.64988839576154,337.7028641998321,342.770787989644,499,14.837245399947278,19.80702438741733,-6.344697867806551,2.0319562998804215,-0.40598704803844665,1.5865844004787426,-1.4585857043259574,1.0720490933928148,-0.33931915908145527,0.5728452437132393,-3.862744876456981,0.3638898311695284,-1.55909027381547,1.0654459291977447,0.0,342.770787989644,342.770787989644,330.28207087532627,342.7707879884154,313.0055490732173,342.770787989644,342.770787989644,True,2.6287087003001943,3.203047275538328,-0.7430381834756623,0.7671582234272222,0.019800683497447978,0.5417404505947448,-0.7336917820684811,0.7220952002196221,-0.03975990353830802,0.4925372744792387,-1.1607707795802649,0.003420237672684212,-0.6109009449432998,0.29472777014076285,0.0,0.0,332.8197751301912,341.6360037934004,224.78168782011033,305.11466864357186,232.48501927441848,335.2809577388051,335.1672000461693,3.0,2.0
9,9,circle_xy,False,10.0,0.02,60,10,True,499,2.9214859906633004,15.858712600311264,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.8269275873218378,0.7150918316527763,0.010552586382506841,0.5281263688746345,-0.7095902182371756,0.70851340438863,0.029668101919762997,0.532210401475469,-1.1772899318407142,0.0,-0.6348633961307905,0.2806463405114667,0.0,336.4340325673425,342.010312890906,270.94623331524986,293.48229522330996,270.94623396092544,342.7707868382364,337.9233155030186,499,15.528852200252004,67.0779357175931,-5.972850856092989,1.109069544511424,-1.6582897174552478,1.7693398344954665,-1.3787474403290287,1.2104262922625286,0.03988795253135383,0.48893305687633026,-2.5185854506388314,83.90862849665758,13.684699864712355,22.950206533499184,0.0,342.770787989644,342.7707879889011,342.7707879764556,341.41830766076936,342.7707879896441,342.770787989644,342.770787989644,True,2.4841543015791103,3.272025331738222,-0.7736937390379917,0.8111953575892897,0.06925556839907315,0.508230426408119,-0.7392392072710984,0.7213942342162291,-0.0031705369797433497,0.5081049712778646,-1.2568005302378704,0.7748507800504731,-0.46489771381680445,0.435418639188002,0.0,0.0,336.8044441557241,346.751627776718,228.20677219103396,315.23461818646655,223.99445182263716,343.89610686838665,337.32158600104566,3.0,2.2
10,10,circle_xy,False,10.0,0.02,60,10,True,499,2.6848011695725997,15.88015590084251,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-2.0004498202900405,0.7151102280738489,0.040324607889335076,0.5639352632871355,-0.7112453077867611,0.7083945480072044,-0.0038085065668722056,0.5529240253909983,-1.1610162351544215,0.0,-0.5581611310499632,0.2712712637037853,0.0,342.770787989644,342.31350847457,305.40050307446603,305.4221406039255,305.40057747682204,342.7707879896438,342.770787989644,499,25.637626700336114,42.310542774162634,-9.792337604612253,1.7072092625197772,-2.456160592779653,3.6529738025153082,-1.3077934114348047,1.316680775145051,-0.21048104711383958,0.5252559760786858,-4.325855429337555,79.67389900641808,11.933020756692645,22.477084272239676,0.0,342.770787989644,342.7707879896439,336.17274804028506,342.77078791170186,318.4272651602268,342.770787989644,342.770787989644,True,2.5876208018744364,3.116729708581942,-0.8141319827725894,0.8176643804553534,0.19072389860255357,0.44378325067215996,-0.7343033388686605,0.7585657580773916,0.05976435839199903,0.5420728708288103,-1.1982450118379075,0.45406851967190404,-0.38948467949937776,0.4590968210895653,0.0,0.0,342.16037337194206,345.8647184853917,228.64724168225862,317.43253296515405,234.55812054467916,344.29339455933,345.2959690958999,3.0,2.5
