sim_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_mean_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),mpc_max_omega0 (rad/s),mpc_max_omega1 (rad/s),mpc_max_omega2 (rad/s),mpc_max_omega3 (rad/s),mpc_max_omega4 (rad/s),mpc_max_omega5 (rad/s),mpc_max_omega6 (rad/s),mpc_max_omega7 (rad/s),nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi (rad),nn_max_phi (rad),nn_mean_phi (rad),nn_std_phi (rad),nn_min_theta (rad),nn_max_theta (rad),nn_mean_theta (rad),nn_std_theta (rad),nn_min_psi (rad),nn_max_psi (rad),nn_mean_psi (rad),nn_std_psi (rad),nn_min_omega_squared,nn_max_omega0,nn_max_omega1,nn_max_omega2,nn_max_omega3,nn_max_omega4,nn_max_omega5,nn_max_omega6,nn_max_omega7,radius (m),period (s),inter_position_RMSe,RMSe_u0,RMSe_u1,RMSe_u2,RMSe_u3,RMSe_u4,RMSe_u5,RMSe_u6,RMSe_u7
1,circle_xy,False,10.0,0.02,60,10,True,499,3.1293190957473174,13.583673999877647,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.1265638566561682,0.44088013485857025,-0.027231095641722408,0.24583340078449592,-0.08714318121140616,0.06245386044689979,-0.002417258006936416,0.02389366572472818,-0.019575971654301715,0.1152364038841843,0.012779954206245768,0.032097752730341114,284.5443623644649,282.67146643476315,282.99187885607176,285.4363902175029,284.5396915312772,285.1143216280515,284.77835195134537,286.08615184450787,True,2.1022077997331508,3.115291559620002,-0.7214983035910186,0.3706090800688728,-0.010517157566175172,0.1710433431479868,-0.10313719701928814,0.11526439365554983,0.001635832776913817,0.036631602592747045,-0.05097477375139727,0.01840979606400121,-0.003123496507975071,0.016206909119444723,40860.46161753696,255.42772286211869,255.39617348747095,258.04222966815655,256.6738358076779,258.1238497518454,257.8067430214621,257.9075645647043,256.09827902911195,3.0,0.2,0.27125917334940625,7.818485704162813,8.267456971054935,8.115671191169092,9.148342158455,8.32198797210118,8.368619038512279,7.550651969718605,7.5545243399260675
2,circle_xy,False,10.0,0.02,60,10,True,499,3.1282865473209314,11.17175950037199,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.5037116357548617,1.1471127111410837,0.024551451408208906,0.25817447323626486,-0.3331168493289386,0.2128597888739978,-0.0011523746793103873,0.11137726793923443,-0.20494878891017387,0.2651105881500517,-0.09904449627340575,0.08546336000179805,282.16354723940725,282.6728752689872,285.9798478078032,285.1588591558186,285.33722599921265,281.29557550801724,278.6523259346709,278.80108978186007,True,2.6377391997666564,3.1144111670084387,-0.3943450377291887,0.7075494327881059,0.009176191269566637,0.17007804661812886,-0.13315593300803044,0.08722785628828435,-0.0004322758078296207,0.034811829055816965,-0.07239167931147461,0.021025616364488745,-0.049556615717577614,0.015119993278254298,39546.581043885555,261.1900271898203,253.3952980219625,256.90428546110996,254.117652952401,257.83880216565854,256.6191786152639,259.0084361035494,257.3966015315557,3.0,0.5,0.274935297762299,10.936402913562693,9.699741819479485,11.139361156370951,11.941353002746482,13.185144777201934,13.791793325461583,12.58260352902792,11.51329412490773
3,circle_xy,False,10.0,0.02,60,10,True,499,3.1774009277146056,11.95298790014931,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7735209581943018,1.1474404627573087,0.022663556874464356,0.3446797773888174,-0.6379283271814408,0.5214452141497427,0.01899020722623116,0.26483821139793967,-0.13131254855046515,1.0915478077710667,0.4800940640029047,0.2109575641744162,282.0432654453827,290.7031397855151,282.72793290114504,291.42623019020544,278.4863242425462,280.64749900948726,270.6676272403099,287.1961963090984,True,2.5457089999108575,3.131987658194822,-0.47898840489186456,0.6968928585553572,0.006354585073911618,0.18052564841768093,-0.17934660700435828,0.16179060089350905,0.0012614029704274806,0.07669140690731188,-0.021865425129949725,0.12501596690479547,0.08213840595660082,0.033962844641311295,41324.408338537905,248.00860326152517,249.5356243384847,244.42946842018065,249.8131315202679,248.3712604495711,249.05096091998513,249.78587219982566,247.88453618273525,3.0,0.8,0.4721927076677073,11.946667870495299,13.220961965600427,13.632093313398343,14.065443323946702,11.834134970259074,15.520437080751408,14.01450773807662,15.943749882126388
4,circle_xy,False,10.0,0.02,60,10,False,nan,nan,nan,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,3.012239499919815,3.1162994461180773,-0.5090467476198234,0.662436984083081,0.009351297033243612,0.2804612065664464,-0.41724254489932483,0.4161009801455853,0.004641976926780317,0.20895753266344977,-0.11977921025847231,0.4894673436517078,0.24263195561176285,0.11767992393457437,41290.873762225674,267.5883320126703,270.2083230504582,259.9624511663496,264.69875221219803,258.2780068720879,260.1966566128517,260.6286832804821,263.9883826373316,3.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,circle_xy,False,10.0,0.02,60,10,False,nan,nan,nan,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,2.8320978001866024,3.2641559812507657,-0.679610628662417,0.7444886041451135,-0.004475101607222058,0.48225185059791514,-0.7598278832767771,0.7348333183156703,-0.00694656024435988,0.45863612556937605,-1.1270791422759896,0.11183242892605955,-0.527930806485442,0.323431743974977,39310.11335058836,293.39515946006844,273.3165959934897,290.8924427013206,266.19246598109305,285.5396083420524,277.06427398328475,290.88024844425576,270.5966862181888,3.0,1.2,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,circle_xy,False,10.0,0.02,60,10,False,nan,nan,nan,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,2.535246599756647,3.2677362623552195,-0.7086573935415521,0.7641031458415232,0.02881146942280972,0.5196115089975503,-0.7737805188879969,0.7490968035668109,-0.029592733626252192,0.47764903868702524,-1.1463912032629746,7.879804931043334e-05,-0.6101505145577722,0.2800417848384217,38942.08680435177,284.2723956778489,279.21000308215974,285.90282560064077,274.5506064669082,281.250835613865,283.5148146296016,275.8756013313362,277.22645876542936,3.0,1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,circle_xy,False,10.0,0.02,60,10,False,nan,nan,nan,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,2.7757651998545043,3.2917699498447006,-0.7577476314883964,0.7561033296281325,0.016531574747263966,0.5368599389142074,-0.7640998007501592,0.7370794259507218,0.016186664587868833,0.4958360797096963,-1.0988418424430495,0.0,-0.6177683172762245,0.24402304507228081,38898.46553777566,282.65091972519326,285.9690427887358,289.07126507418565,284.91191589603744,294.7758972619714,294.5016975017179,284.60244049398085,287.285317778531,3.0,1.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,circle_xy,False,10.0,0.02,60,10,False,nan,nan,nan,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,3.260628500225721,2.9888620125218974,-0.7460601715137575,0.7315491442402773,0.02372390312938281,0.5650629657639659,-0.7290366109271788,0.7360673934191154,-0.03507467490361683,0.49583418867314644,-1.1292497335345615,0.15732179298603935,-0.5160377243655487,0.2941752100831803,39138.22565179947,290.98269368416794,289.94160979072467,293.1924992861382,294.1894238860947,294.2221919810824,301.5305197987227,291.9952608144598,295.90799060636635,3.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,circle_xy,False,10.0,0.02,60,10,False,nan,nan,nan,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,2.252926100132754,2.776078693967595,-0.7342212891091079,0.7511817163527456,0.06112084054646393,0.556347830028342,-0.7434990594935458,0.7217128820791956,-0.02729489398723064,0.5210156428261994,-0.945097321120901,0.1322125527803356,-0.5062929268106202,0.2559111358887243,37207.102163199335,287.16860767179355,279.63830326116164,286.6074202715671,273.513336961657,285.51076038182134,282.8817043028323,282.7278550463038,278.98296805102456,3.0,2.2,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,circle_xy,False,10.0,0.02,60,10,False,nan,nan,nan,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,2.424879699887242,2.7060286005081444,-0.7236230395727624,0.7321412300223691,0.02542858495519283,0.54476757788665,-0.7249559254856216,0.7233906053872846,0.0024980025995747805,0.532881529594769,-1.0423232857615325,0.12106746861522881,-0.4579013191588834,0.29091872837453553,38085.912071751314,284.735977179939,282.4779099089154,291.8680926239665,280.4600402989691,291.7556624786369,283.72360065947396,289.1469264186804,283.010616289562,3.0,2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan
