sim_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_mean_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),mpc_max_omega0 (rad/s),mpc_max_omega1 (rad/s),mpc_max_omega2 (rad/s),mpc_max_omega3 (rad/s),mpc_max_omega4 (rad/s),mpc_max_omega5 (rad/s),mpc_max_omega6 (rad/s),mpc_max_omega7 (rad/s),nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi,nn_max_phi,nn_mean_phi,nn_std_phi,nn_min_theta,nn_max_theta,nn_mean_theta,nn_std_theta,nn_min_psi,nn_max_psi,nn_mean_psi,nn_std_psi,nn_max_omega0,nn_max_omega1,nn_max_omega2,nn_max_omega3,nn_max_omega4,nn_max_omega5,nn_max_omega6,nn_max_omega7,radius (m),period (s),inter_position_RMSe,RMSe_u0,RMSe_u1,RMSe_u2,RMSe_u3,RMSe_u4,RMSe_u5,RMSe_u6,RMSe_u7
1,circle_xy,False,10.0,0.02,60,10,True,499,5.226082873199662,16.750065900181653,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7001497178295493,0.7001448863292429,0.029324888652684053,0.28255586214209427,-0.07742924685034246,0.32375993254066854,0.021369599384191716,0.075923649922445,-0.24966294134588835,0.07858934803488708,-0.013258213578872764,0.03044122344788896,283.7101941654816,283.043518285059,282.2360015480635,281.1778608616011,280.20588887814745,277.91011248233053,279.2433238192127,281.55761827058814,True,2.945432200358482,5.220193770505879,-0.6920423169194866,0.7162608710257964,0.03180031581046215,0.2770213487260905,-0.06898376945410342,0.27510713196969777,0.01879391620298381,0.06873138756434682,-0.28858657982676017,0.01648580810982978,-0.05143534151297179,0.03857515310873906,282.82443954610426,279.8132425486953,287.41325042373825,283.5172366841193,287.0491950904792,280.1693278515824,285.61117993084133,279.12589671606787,5.0,0.5,0.18761861684986295,9.210198947400919,8.22118467676971,9.547029518119452,9.000452678195531,7.914982679663129,9.482460112823974,9.402207950783636,8.232815419559346
2,circle_xy,False,10.0,0.02,60,10,True,499,5.242898621712427,15.645504800282652,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7010778308625546,0.6228457847254316,-0.04038904807412098,0.26307198246299995,-0.35050275123300945,0.7000209970886779,0.05261194582558906,0.2161065885861214,-0.06543398732716087,0.25708640062978744,0.10007396612007594,0.05079547042669561,281.7286183082153,281.38339657682997,285.6985614921709,287.49130131206687,289.0720071677228,287.9809479022916,286.4806166469736,283.1669091093241,True,2.4729727997619193,5.249714023637763,-0.8637960912777183,0.5499260922912836,-0.030430319284179354,0.263772485414123,-0.25100348709414116,0.731346074977575,0.047943663385193645,0.19078772024936308,-0.01824507688694632,0.3391028336341436,0.17843769225335904,0.06665534784876946,277.74904219376447,270.71371853283415,273.06240096502427,276.506517921092,282.86442173756456,274.9915951345209,274.89911525888294,271.43845847143047,5.0,0.8,0.3194720547522008,9.876893290689491,9.46704607066363,9.086172037225287,10.279432900234445,11.215783335707053,9.857397352092205,8.982224954896827,8.757453779006765
3,circle_xy,False,10.0,0.02,60,10,True,499,5.421223821516991,15.928568700241158,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7090470145614038,0.7165047472423804,0.04749251743220891,0.4801562800521907,-0.7065530533091278,0.8526989531484858,0.03922208459528679,0.4131473116205031,-1.3473429193363065,0.6384676851101208,-0.5975086656979081,0.4981474597043126,329.77500505525813,291.0062175844116,311.03256581737554,290.3622323552839,317.2613465497832,290.89711139970507,342.770787989644,292.2961502780183,True,2.507491400174331,5.501789957193253,-0.7501373072822434,0.7887663426375433,0.03158191247273026,0.47480149205201744,-0.7804657606359257,0.7695295599627375,-0.004272034934172726,0.44381422145583843,-1.0661051423706474,0.07218376828065651,-0.630395151669515,0.24492576598002702,272.6443145163757,264.986856407922,291.69602848453775,267.1112346869757,272.34917908895665,275.74977406408124,268.67455206341793,280.6962926605769,5.0,1.0,1.2879803794443436,27.513417409170547,24.019597459879034,18.505153623981894,23.199541196639277,27.723742139081086,23.58135950994852,25.617224849513512,21.998674383463793
4,circle_xy,False,10.0,0.02,60,10,True,499,5.38222073441269,19.92076799995266,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.0904170082817424,0.9042205875423814,-0.020933892172236426,0.5112076897067106,-0.9632658943253366,1.3023536729712093,-0.06925364628357675,0.4864531334011865,-1.7029616179879965,1.0890344159981493,-0.20393086493804993,0.7216474224481042,331.53388818054947,342.770787989644,342.770787989644,342.7707810977914,333.21876962885176,325.9445498079237,342.770787989644,311.4649971909005,True,3.600989799713716,5.3498470700962395,-0.7739902712839931,0.7981570145206395,0.0405022996321757,0.515059168137293,-0.9676376566823915,0.7631041144107352,-0.07193334710352191,0.45493665265511196,-1.5573135770748838,1.1476121590937143,-0.2861701343093447,0.6560942130730074,319.1187275413174,307.59127544600875,339.124869731625,298.3855431716597,320.19453195622174,304.650065767979,310.60670144782745,301.77577039189043,5.0,1.2,0.8948454068577066,24.1039829942037,28.261871790735608,31.640207953398647,32.04073932851803,39.310388253854356,22.21029352114177,35.95930399570872,24.411230788088055
5,circle_xy,False,10.0,0.02,60,10,True,499,5.398533860269402,17.12588960022549,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.734865392081147,0.7334748240582948,0.028095718942724758,0.5214892281889393,-0.7364338708696602,0.7688558777380232,-0.0899686021578768,0.5267183515716977,-1.0944489479546002,1.3062196439993856,0.3092167742083618,0.6084644658547104,328.33624883082905,321.475982913082,314.7249224364811,330.858018541729,327.02827736245,342.7707879896441,310.63539745689945,341.13309807107316,True,2.4808212999487296,5.469539317467258,-0.8329857926699659,0.8545100896848478,-0.06273561735996788,0.5203492581182007,-0.8132903591378194,0.8728946377441869,0.0012858777500635874,0.5203972209250476,-1.2231790228785395,1.4076579395408333,0.5460022467648866,0.47243834128576423,309.73179387570434,321.5378709585091,294.34044230423433,325.7675487233321,307.80270455337325,312.1676391846062,286.5748008788191,320.0895355397482,5.0,1.5,2.388487364645814,31.782772969750354,37.21346751892165,44.82717142881388,32.84636340987062,41.62650673027991,31.969337246760876,40.532391038521226,39.07031533245999
6,circle_xy,False,10.0,0.02,60,10,True,499,5.160454875641809,19.148656700039282,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7221264333913013,0.7217718206872563,0.03152031375305386,0.5588702777878283,-0.7146080185407369,0.7125306797658203,-0.055108226299926816,0.5631382544596911,-1.213206677525457,0.0017380333292912361,-0.7195893259969498,0.2694794320607827,341.8274762651293,337.78809199256403,316.87672974800006,326.4255275074501,331.31938215710966,326.6373283704236,316.8869522056743,336.642618096378,True,2.7336215000541415,5.475975688000596,-0.7646991130372065,0.8443610666449305,-0.03089315148692318,0.5358252980652598,-0.7860165747915986,0.8511482646629039,-0.07395807242503613,0.4865484882420821,-1.433433837416773,1.0141791127058573,-0.36193525385904857,0.6260402196838741,319.8232952260581,324.07903973363125,305.70421262254763,312.9095856498334,314.98778601247307,305.04133844023715,321.3977091808939,308.81619031648006,5.0,1.8,1.696707221294709,29.630335230341977,24.747606879361136,25.315388628535413,27.372303682765203,25.93761412281345,23.124893635022982,21.34021650503982,25.408764250532908
7,circle_xy,False,10.0,0.02,60,10,True,499,4.961487764743236,18.789111999678425,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7219727091262387,0.7220652499762834,-0.024351498001318674,0.5900997325731667,-0.7133110977641436,0.7098101239592862,0.004474603750195751,0.5655002377785521,-0.07713399619530222,1.1603411844878353,0.6630082124325315,0.2706541825545412,341.9414666484626,335.88696281349564,316.07325368333727,325.66791966567723,331.52345295148365,319.86355060089164,320.50029606466416,335.1058498059259,True,2.8534069998713676,5.144302725395164,-0.8277504094086586,0.8102337044479644,0.03695157754346754,0.5802070357837794,-0.7118589451315331,0.827302170147857,0.022120643449587925,0.5342968448430868,-0.09836900000304853,1.205222610593265,0.578763492656509,0.2990162305785236,324.3748980319179,323.8186045069272,312.157178415974,321.0676896543562,314.34880597896387,311.97869070873924,319.07103659446506,315.5077503646301,5.0,2.0,1.3482236350960461,16.24344014211732,19.614718398408048,18.824134765351534,17.84281176599946,14.261486602686269,18.289160556718073,20.482585288658004,17.252863602403014
8,circle_xy,False,10.0,0.02,60,10,True,499,4.814136818723027,19.11649000021862,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7214946202885386,0.7272529673060038,0.08481690957932637,0.5928902763929681,-0.711429240978763,0.7117438989531013,0.005071855413213332,0.5721574774970576,-0.21241005378576389,1.21154967271773,0.5964509362775957,0.30564668406489426,331.14040912682685,329.01406796298795,318.44551030881524,310.95977751371146,324.40745655165176,311.65031117315436,313.31718327135496,332.4574398145126,True,3.8386265994631685,4.9086698011640735,-0.8023996801989557,0.8270038748521304,0.10242854145500868,0.5708942889006785,-0.7331337712249397,0.7914452582453307,0.006183069008568232,0.5491999203715265,-0.23719082533234123,1.1363777225555407,0.5038637636819263,0.3052397815258501,320.6895470229759,323.6433756864052,314.3844593294665,314.516171253992,308.36408889217313,308.3180615325961,315.02385725585333,317.33091811210556,5.0,2.2,1.4264265559919413,20.893096827676104,20.219173910388925,20.568481441530675,20.63791740392872,20.31380226832548,22.47518762488078,22.361620465459996,23.87572474079204
9,circle_xy,False,10.0,0.02,60,10,True,499,4.730316246374574,19.961886699515162,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7328859849221122,0.7265846127266193,-0.024195170237027854,0.591580043145057,-0.7096621609206876,0.7121879415309389,0.0010753949168903203,0.586372799975726,-1.1965677285513139,0.35427291789115023,-0.5442445866468022,0.3222625579969155,330.11448552823026,320.43699919860575,309.86444078720524,308.9280738113507,331.0211678867041,312.24399852545184,316.6832897278866,326.18041213570996,True,2.755247299966868,4.806707380738378,-0.8402195003724008,0.8152326160907336,-0.051789837605559545,0.584311234095464,-0.777086379361605,0.7938082544042401,0.007720784096772068,0.5844615644095693,-1.1436851831848813,0.29387984643319853,-0.534584218159785,0.34866772408434776,313.35436677800277,316.3771055593636,306.4397192289813,308.6997382903925,311.6184769805351,307.0401393328147,311.4836421347982,304.10174348855077,5.0,2.5,1.287430430645061,27.864625759483424,21.09322198751244,30.953965275874715,21.381323437621372,24.742856735846395,21.365551735960647,32.07242777564633,20.597354893720443
10,circle_xy,False,10.0,0.02,60,10,True,499,4.606167574803484,18.093745599820977,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7325603169344359,0.7317545722583969,0.04668065402979437,0.5785593199901481,-0.7088338565420627,0.7057678231684378,0.047239415212377324,0.6008681880079089,-0.4029733780659725,1.1199310237297704,0.4849686629175488,0.3391545599703091,325.9199392885988,325.7163037075185,327.773401851085,323.3699093677357,323.9384260715318,318.11971717156626,307.7792647227039,324.1761120363284,True,2.8336405006120913,4.770401362929932,-0.7602397590538733,0.8422670398653471,0.05861969871256689,0.5524091666234361,-0.7481572859223472,0.810748676254234,0.03311495944857232,0.588214050979796,-0.43125768292581845,1.095800329685468,0.3989026816438703,0.3761950584373103,312.0165347410795,313.1553272092653,307.45487171458427,313.652753263079,308.47779120503867,312.965510899619,306.4037694714454,312.9303314992925,5.0,2.8,1.342084553447963,21.40393446413702,26.743180323124246,23.978670038405113,26.06978649239325,20.327802398310695,25.881700857600865,25.224516246011596,25.846618252776814
