sim_id,trajectory_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation_mode,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_mean_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),mpc_max_omega0,mpc_max_omega1,mpc_max_omega2,mpc_max_omega3,mpc_max_omega4,mpc_max_omega5,mpc_max_omega6,mpc_max_omega7,nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi (rad),nn_max_phi (rad),nn_mean_phi (rad),nn_std_phi (rad),nn_min_theta (rad),nn_max_theta (rad),nn_mean_theta (rad),nn_std_theta (rad),nn_min_psi (rad),nn_max_psi (rad),nn_mean_psi (rad),nn_std_psi (rad),nn_min_omega_squared,nn_max_omega0,nn_max_omega1,nn_max_omega2,nn_max_omega3,nn_max_omega4,nn_max_omega5,nn_max_omega6,nn_max_omega7,radius (m),period (s),inter_position_RMSe,RMSe_u0,RMSe_u1,RMSe_u2,RMSe_u3,RMSe_u4,RMSe_u5,RMSe_u6,RMSe_u7
1,1,circle_xy,False,3.0,0.02,60,10,True,149,4.606733941490976,3.9238687998149544,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7028282086432394,0.6562810522910221,-0.06983184172439146,0.4461697858024267,-0.6383652672072879,0.5883574745249457,0.02338590984024102,0.311203654788333,-0.9111946167735654,0.24401367700400672,-0.3216377984518226,0.34521162340435346,282.42621434547056,279.22861810674885,286.89059877510186,282.42428390857975,286.8444193347207,280.16905063974895,282.475556814622,276.1179874203705,True,0.40462819999083877,4.638455391912042,-0.7185125839788404,0.7097757338962545,-0.048733388351554364,0.4191079398561479,-0.6428984657953113,0.494780241708596,0.001633639130244262,0.29734433305144187,-0.7945116784518698,0.03982469610148434,-0.38875294616784317,0.2658180051526664,37087.390228241566,261.6563563252676,256.9709603700428,279.0350484470309,262.43709174443086,268.1970522665281,269.32715979243824,262.8249779063945,260.2919331056425,4.0,1.0,0.5039508110271544,13.636637939477154,14.252694031215269,12.08046648796985,14.702513843318082,14.015540936534745,13.406542301217767,15.057817804767524,12.423157249659106
2,1,circle_xy,False,3.0,0.02,60,10,True,149,4.735795320405293,6.0514986997586675,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.8269306347881921,0.7029435339283296,-0.07309956528189444,0.4225433784395641,-0.7014742855487943,0.639209919126896,-0.03333985105694093,0.34170832228007053,-1.085177020727685,0.0,-0.6482112664056596,0.3077464098654274,0.0,320.167354920095,324.89815978110283,270.94623355799297,270.94665585957665,270.946233752678,320.26541101280804,320.2541576379295,True,0.5651471999008209,4.590705881423521,-0.9602729887243844,0.6999204518155844,-0.06669481902235735,0.435668621557328,-0.7000055513364485,0.6495905735186592,0.03877045274135139,0.3683901044252195,-0.9954353251226667,0.0588067431702985,-0.5649813685047597,0.3404581628589101,0.0,0.0,306.77914040822145,335.79037031591866,221.16312176683476,278.59004012577356,225.71977157629294,325.36229019152756,308.5679130801562,4.0,1.0,0.7211156300969201,0.0,17.090291988508838,11.977309707055703,22.85138109910926,23.628223379158253,24.407941664999143,11.28352757926308,19.173151814666927
3,2,circle_xy,False,3.0,0.02,60,10,True,149,5.83418598563077,7.089693099667784,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7044973471539232,0.7165047472423804,-0.10794000357654772,0.46451005544999174,-0.7065530533091278,0.6701547593528027,0.050018556895111775,0.3627829873934468,-1.1679938143823014,0.30076577665548093,-0.4594906866928193,0.4347124043224942,290.73436477771895,285.87602220861095,297.20384582874044,290.3622323552839,297.1051376998383,285.82120412571743,290.1713308921688,280.4725511808241,True,0.4138835999183357,5.884494973595462,-0.7504111695963382,0.7369362104212422,-0.08675521652585416,0.4313182594402965,-0.7344892221704103,0.7046073721358683,0.03353743340928954,0.35106096846154367,-1.05488964101741,0.07371188874475618,-0.4837795304608016,0.3433543005035748,34397.54354910692,265.70165680125126,258.13248458080415,290.2659214915215,265.8695591873766,271.32283514897006,275.72496147226985,268.2009652070726,264.29992897324536,5.0,1.0,0.5618357867158121,18.10539023511744,17.72056954747057,15.313376639846734,18.276170560198565,19.029330428882616,16.644684609834545,19.319812089203214,14.92527589076353
4,2,circle_xy,False,3.0,0.02,60,10,True,149,5.956584519333866,7.640165100048762,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.0114028576164573,0.7234110396739911,-0.1081505905856009,0.5094036331137662,-0.8360351814336124,0.6744045912375349,0.030609285203993704,0.37498983004454056,-1.3570185476453984,0.09564132427536333,-0.6138694009995017,0.4202683810852053,0.0,342.770787989644,342.770787989644,227.00092175035542,341.58225293126566,223.0374924887199,342.77078669404636,338.06699289243477,True,0.8579032995039597,5.828713777947754,-1.022379555765036,0.7361793628318691,-0.1581276808843851,0.4752660915693122,-0.7377664759287464,0.7007030591480411,0.08212185774293912,0.4037889001788312,-1.325355935518147,0.1353426164907105,-0.662089368961882,0.4371945495623461,0.0,0.0,315.370850297579,342.7707879896441,225.8959217235607,289.8759227024225,227.28425651432968,332.66848753426905,323.75074395624824,5.0,1.0,0.5937681422762108,0.0,28.299934694874782,27.16056452107481,38.32222342772502,35.44847477854824,47.43222610426227,20.266105966378927,25.375247398132956
5,3,circle_xy,False,3.0,0.02,60,10,True,149,7.083668935177801,5.978059099928942,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7100668089407841,0.7155636892127811,-0.14917375414394377,0.47551576860789063,-0.7602883275743806,0.6990626982183726,0.08978680070470879,0.3837636583514337,-1.2958609032411965,0.35932140583012534,-0.4329981304486971,0.44874988700826474,319.5932942780857,287.18386940004103,342.770787989644,292.8814038787413,326.68624269801353,287.19620257565794,316.8841555418833,280.5664527518431,True,0.8834935998311266,7.193702636712459,-0.7716759148349077,0.7202850572370181,-0.13878765123360548,0.44031557290319356,-0.7767165749018746,0.7674712551439579,0.07412278128870073,0.4079354199787208,-1.3395120181274318,0.10128433715450591,-0.5294197432029137,0.4182921562527286,32394.394147612737,301.0072933607701,274.1615126265645,321.576145421413,269.11806030035825,293.77849565672193,298.0243115835276,281.3144397566089,291.1539879141049,6.0,1.0,0.6400913071372882,28.492172284420946,21.2641534771428,17.69409568789308,22.294638733863245,29.553860479883955,20.403888151239016,23.622900499070475,19.115961388672428
6,3,circle_xy,False,3.0,0.02,60,10,True,149,6.955321060924492,7.2952118999673985,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.8398035502805186,0.7157758601180039,-0.14636423548417662,0.6208668165522969,-0.8433298888291675,0.6713272593758935,-0.00882047699483343,0.41086488687412714,-1.3582524207924769,0.0,-0.75678452006353,0.3796296927715593,0.0,342.770787989644,342.770787989644,300.3839235344888,324.64613229606067,300.38393347216817,342.770787989644,342.770787989644,True,0.9329339996911585,7.092498949566317,-1.07403342994331,0.7316851823370809,-0.22947011806611048,0.4773394658442334,-0.7811884844250463,0.7867869549017824,0.08838227202710985,0.4319272114079866,-1.4280506521558434,0.22773675496474818,-0.6759921269721454,0.4986856799634456,0.0,0.0,317.33260406563255,342.7707879896441,229.25629081551688,292.9030223085043,238.27927765589834,330.893844250608,329.5968853238556,6.0,1.0,0.8022279794637812,0.0,38.20205304591785,29.79903820806085,39.29245423535353,42.096106728844596,43.020903561516626,31.57690828047588,33.06390767084221
7,4,circle_xy,False,6.0,0.02,60,10,True,299,4.130918650929112,9.047760199289769,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7181376995096592,0.719671717944474,-0.03356114980445235,0.5674252944054319,-0.7086047151129388,0.7096470892255071,-0.009180705813944373,0.5367339975027415,-1.0912069712741668,0.06615691585057527,-0.6356333613084544,0.2788667487099858,300.4286164460826,299.88258725055636,293.0713798548998,314.24478471373493,314.4550881146417,315.6600839208092,298.6353983896112,296.09106985212577,True,1.2011328000226058,5.370946537428349,-0.7585940090856925,0.743777522673262,0.24150159548419547,0.45069681301051623,-0.7774635266866233,0.880048584715988,0.024409138628267386,0.46575393322092723,-1.2948249211002578,1.440842887341303,-0.08411715175887349,0.8887026689420822,12294.547131072963,313.79147854007664,298.5328815107475,323.1604871088224,294.8999700532465,318.3813566956866,296.8417840519116,321.10505912660733,298.1813672320005,4.0,2.0,3.6220633097546844,41.13329046458588,38.42177821044129,44.741597364102944,44.62016906750369,41.86783895419112,36.31977220420812,41.9076183928276,43.178868601326556
8,4,circle_xy,False,6.0,0.02,60,10,True,299,4.346618301027579,9.437374200380873,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7202672402745558,0.7246114166078954,-0.02132139977655986,0.5614934298151867,-0.7104155799737499,0.7103723280336212,-0.002506899496772519,0.5407892470813641,-1.201051433865682,0.033484102107793234,-0.6939026469872153,0.29442457958525303,0.0,342.770787989634,342.7707879895618,246.28511713134236,331.9520964863454,251.82145470293054,342.7707879896439,342.77078798393757,True,1.626233700895682,4.609330899951976,-0.7495966961062118,0.7714066756759457,0.07193694990761161,0.5337192381375233,-0.787356669830837,0.6762037305547963,-0.182404199255659,0.41471031296176236,-1.3435076789001403,0.5511358049068223,-0.4915008175404885,0.4988873405493311,0.0,0.0,342.44594492366446,342.7707879896441,236.79782208680442,308.2778813905114,240.2167980178366,341.3234499675569,341.41685494161425,4.0,2.0,2.0482877560858097,0.0,29.163830402769264,35.45377523311374,24.342632213943734,26.591470070001392,24.83366825157364,33.511941480165596,30.65435591056102
9,5,circle_xy,False,6.0,0.02,60,10,True,299,5.217372242317095,9.060674600070342,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7226650061842904,0.7216545040377771,-0.027522273518287375,0.5882720273047434,-0.708629541850981,0.710511999312639,-0.003141876158183893,0.5591341055924329,-1.1603389382719271,0.07708703404348655,-0.623566813664172,0.28886089309405183,329.25580654305116,326.65037781296013,316.34979558109995,337.1516656391645,340.91721871304907,334.6617285454317,319.5881201059962,323.67225242237055,True,1.3056906999554485,7.0396410875192545,-0.7723456553190411,0.7796951850875466,0.22607288667085718,0.4839996862257846,-0.9125997364590239,0.9131473851477434,0.0005421560595379659,0.4980940996303881,-1.4708948689863217,1.5301545226996716,-0.08360525285869423,0.9363084804658324,12658.502347239526,309.5364075938474,304.13659799372664,319.3410841399549,306.4568198751669,317.2366472701719,306.9549441352839,324.85335903816457,307.23606314777055,5.0,2.0,4.794244217795573,48.22402644867507,38.674138686522106,44.82377898471155,50.25096539103299,46.45921755107964,44.530312790882235,44.27904857750195,47.41046731798269
10,5,circle_xy,False,6.0,0.02,60,10,True,299,5.889259540921527,22.503971099562477,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-2.0003656601918633,0.7361645690955345,0.09411576992615722,0.6306881209464326,-0.7152670822955425,0.9940281691202885,-0.21564182904866125,0.4821711415693802,-1.4770497043545807,1.103495704289957,-0.4828079926979545,0.6082061873911713,0.0,342.770787989644,342.7707879896434,312.07638507372747,339.27339498444195,315.6163392510826,342.770787989644,342.770787989644,True,1.3904667008318938,5.848439163352285,-0.7833378479772377,0.797519485547101,0.0666320705482892,0.5417595867025757,-0.8201613499788982,0.7037621012695516,-0.21889679276336732,0.4402249287275452,-1.438712258760759,0.7220869832351658,-0.49979467151628115,0.5721402278307915,0.0,0.0,342.7707879896441,342.7707879896441,237.89469388394798,315.64721023273773,244.5585095613461,342.5805624108942,342.7707879896441,5.0,2.0,1.7356023615952358,0.0,45.47422211956402,45.13856005886419,61.777716075730794,39.36330375710245,53.131397750467805,45.774644185470585,43.59205581706142
