sim_id,trajectory_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation_mode,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_mean_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),mpc_max_omega0,mpc_max_omega1,mpc_max_omega2,mpc_max_omega3,mpc_max_omega4,mpc_max_omega5,mpc_max_omega6,mpc_max_omega7,nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi (rad),nn_max_phi (rad),nn_mean_phi (rad),nn_std_phi (rad),nn_min_theta (rad),nn_max_theta (rad),nn_mean_theta (rad),nn_std_theta (rad),nn_min_psi (rad),nn_max_psi (rad),nn_mean_psi (rad),nn_std_psi (rad),nn_min_omega_squared,nn_max_omega0,nn_max_omega1,nn_max_omega2,nn_max_omega3,nn_max_omega4,nn_max_omega5,nn_max_omega6,nn_max_omega7,radius (m),period (s),inter_position_RMSe,RMSe_u0,RMSe_u1,RMSe_u2,RMSe_u3,RMSe_u4,RMSe_u5,RMSe_u6,RMSe_u7
1,1,circle_xy,False,3.0,0.02,60,10,True,149.0,4.614554275760913,3.7498868003312964,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7026239106868517,0.6592512102777061,-0.08495535907188609,0.437865654239984,-0.6254713018345776,0.505553728388013,0.018608087004005774,0.2978982163346721,-0.8911842033014453,0.20650925140890658,-0.3272188507629017,0.3166226923294535,271.31718794159315,269.9947086611242,277.2443213858112,281.730806038943,281.730806038943,281.730806038943,272.59148926730353,269.9947086611242,True,0.38114619971020147,4.638455391912042,-0.7185125839788404,0.7097757338962545,-0.048733388351554364,0.4191079398561479,-0.6428984657953113,0.494780241708596,0.001633639130244262,0.29734433305144187,-0.7945116784518698,0.03982469610148434,-0.38875294616784317,0.2658180051526664,37087.390228241566,261.6563563252676,256.9709603700428,279.0350484470309,262.43709174443086,268.1970522665281,269.32715979243824,262.8249779063945,260.2919331056425,4.0,1.0,0.39088590250716226,16.83650601875509,13.631350325099902,14.47640598299515,14.283822535050279,17.642906670480922,15.095832945784581,15.684147158971312,14.036877919898986
2,1,circle_xy,False,3.0,0.02,60,10,True,149.0,4.607975413437243,6.578127500019036,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.304385911592966,0.7044365596378486,-0.06580887145515907,0.46058928222674617,-0.6535759751422113,0.6296138300837576,-0.007018576748710453,0.3505690380024545,-1.037583244339926,0.0,-0.6605221699041685,0.2896785311051718,0.0,342.7707879896441,310.1329027638709,281.730806038943,282.9336032132978,254.8263971284188,322.9539379203789,342.7707879896441,True,0.37798730022041127,4.590705881423521,-0.9602729887243844,0.6999204518155844,-0.06669481902235735,0.435668621557328,-0.7000055513364485,0.6495905735186592,0.03877045274135139,0.3683901044252195,-0.9954353251226667,0.0588067431702985,-0.5649813685047597,0.3404581628589101,0.0,0.0,306.77914040822145,335.79037031591866,221.16312176683476,278.59004012577356,225.71977157629294,325.36229019152756,308.5679130801562,4.0,1.0,0.5984509488362916,0.0,19.609475849209506,17.745192913639602,22.09426231871101,20.756776853780366,22.33584312212069,18.430508288153487,18.602926156005985
3,2,circle_xy,False,3.0,0.02,60,10,True,149.0,5.854648580478804,5.689895800227532,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.705791663907014,0.7145834213293134,-0.12115230487927058,0.4596430810747919,-0.7063825448120716,0.6062805698840235,0.038002672619835254,0.3566038479363163,-1.0792524954151825,0.2596602575777721,-0.4559467628065974,0.4102531876758847,277.39301118896765,269.9947086611242,280.54789323534965,282.1142901615581,285.2419862729433,281.730806038943,271.9309783986744,269.9947086611242,True,0.48451470004511066,5.884494973595462,-0.7504111695963382,0.7369362104212422,-0.08675521652585416,0.4313182594402965,-0.7344892221704103,0.7046073721358683,0.03353743340928954,0.35106096846154367,-1.05488964101741,0.07371188874475618,-0.4837795304608016,0.3433543005035748,34397.54354910692,265.70165680125126,258.13248458080415,290.2659214915215,265.8695591873766,271.32283514897006,275.72496147226985,268.2009652070726,264.29992897324536,5.0,1.0,0.4184174910780073,17.76594212559594,14.790395714930714,15.868967382408318,16.544782669598025,18.81401754694669,16.509751697621766,17.190841079407434,14.598502037052125
4,2,circle_xy,False,3.0,0.02,60,10,True,149.0,5.9010527253779275,8.474674700089963,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.9457902697364634,0.7043739220494298,-0.17161071717409912,0.4602976695040911,-0.6986692851647698,0.6917317510470722,-0.046727810945370256,0.36820940333452234,-1.2374153664777443,0.3060644580580138,-0.2568702256331255,0.4233870005684298,0.0,338.8627785797433,335.4130374479947,255.64188927733505,278.7744110653355,260.54829707545025,337.00802058789367,340.07126174929624,True,0.6813735000032466,5.828713777947754,-1.022379555765036,0.7361793628318691,-0.1581276808843851,0.4752660915693122,-0.7377664759287464,0.7007030591480411,0.08212185774293912,0.4037889001788312,-1.325355935518147,0.1353426164907105,-0.662089368961882,0.4371945495623461,0.0,0.0,315.370850297579,342.7707879896441,225.8959217235607,289.8759227024225,227.28425651432968,332.66848753426905,323.75074395624824,5.0,1.0,1.1496996481947306,0.0,35.414985014137564,24.805357577297514,57.28907935571791,32.52174972708186,58.396275985827536,22.792244050618322,34.90709210003387
5,3,circle_xy,False,3.0,0.02,60,10,True,149.0,7.110980639853506,5.644829000113532,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7125641129400435,0.719450499842318,-0.1543338019570244,0.4452993766924987,-0.7055780553916423,0.6976118639296942,0.05517689933403081,0.39391516808252297,-1.182003316601781,0.31520958892681306,-0.5022953822396098,0.4454729143208445,276.9465464937419,272.8121285758223,290.2245452124418,288.2497408996717,290.52948902076736,281.730806038943,272.91791209171265,274.51041156600826,True,0.4296853001578711,7.193702636712459,-0.7716759148349077,0.7202850572370181,-0.13878765123360548,0.44031557290319356,-0.7767165749018746,0.7674712551439579,0.07412278128870073,0.4079354199787208,-1.3395120181274318,0.10128433715450591,-0.5294197432029137,0.4182921562527286,32394.394147612737,301.0072933607701,274.1615126265645,321.576145421413,269.11806030035825,293.77849565672193,298.0243115835276,281.3144397566089,291.1539879141049,6.0,1.0,0.5330919298851482,21.682366743989917,19.61911197301618,21.538957126368512,21.152345186502984,19.63407239410588,21.593111755609076,19.71540195459656,20.364881548358017
6,3,circle_xy,False,3.0,0.02,60,10,False,nan,nan,nan,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,0.5775927998765837,7.092498949566317,-1.07403342994331,0.7316851823370809,-0.22947011806611048,0.4773394658442334,-0.7811884844250463,0.7867869549017824,0.08838227202710985,0.4319272114079866,-1.4280506521558434,0.22773675496474818,-0.6759921269721454,0.4986856799634456,0.0,0.0,317.33260406563255,342.7707879896441,229.25629081551688,292.9030223085043,238.27927765589834,330.893844250608,329.5968853238556,6.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,4,circle_xy,False,6.0,0.02,60,10,True,299,4.136879821274353,8.467364500189433,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7182209115698027,0.7189632314063392,-0.03036252731495985,0.559518587923102,-0.7101909506417109,0.7087060376620767,-0.002051461401684224,0.5346048650758957,-1.0591342463310682,0.023820925482977165,-0.6319430713619937,0.2742975370329255,303.29850439895125,301.71928310554574,288.4119321091777,310.54617319864656,319.1519014081577,315.37421375974833,300.56670819391314,293.30170370747015,True,1.1748614999523852,5.370946537428349,-0.7585940090856925,0.743777522673262,0.24150159548419547,0.45069681301051623,-0.7774635266866233,0.880048584715988,0.024409138628267386,0.46575393322092723,-1.2948249211002578,1.440842887341303,-0.08411715175887349,0.8887026689420822,12294.547131072963,313.79147854007664,298.5328815107475,323.1604871088224,294.8999700532465,318.3813566956866,296.8417840519116,321.10505912660733,298.1813672320005,4.0,2.0,3.7983838145925364,44.87808348605477,42.891140904103914,45.84342445594061,45.879789526913726,46.937887129271786,39.87194034866287,45.399673756560226,44.82329420379049
8,4,circle_xy,False,6.0,0.02,60,10,True,299,4.748766632223779,13.990540000027977,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-2.2835681014157876,0.7275984438067413,0.031028264349024493,0.647387980575935,-0.841320196296828,0.8955862322450571,0.06060478453310188,0.5050398506123682,-1.3389807585667797,0.7879199299743476,-0.3792396389495861,0.5767481082923416,0.0,342.7707879896441,342.7707879896441,277.40156015536286,342.7707879896441,303.84610546137804,342.7707879896441,342.7707879896441,True,1.4340529001201503,4.609330899951976,-0.7495966961062118,0.7714066756759457,0.07193694990761161,0.5337192381375233,-0.787356669830837,0.6762037305547963,-0.182404199255659,0.41471031296176236,-1.3435076789001403,0.5511358049068223,-0.4915008175404885,0.4988873405493311,0.0,0.0,342.44594492366446,342.7707879896441,236.79782208680442,308.2778813905114,240.2167980178366,341.3234499675569,341.41685494161425,4.0,2.0,3.147106697758492,0.0,45.483174258252085,56.71600860724058,47.255728426918715,46.55685263124039,46.539235048392335,52.919227535923454,46.44377872819688
9,5,circle_xy,False,6.0,0.02,60,10,True,299,5.2184289894974745,9.845252700470155,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7224176868635086,0.7227257594724035,-0.01444237116315948,0.5721781035664191,-0.710261114143443,0.7112035326076398,-0.00533873378089068,0.5574675797181976,-1.111623231236385,0.02401484514034577,-0.6020630967625593,0.2782580072366967,329.33002444390047,327.97762215494424,300.9428762838791,328.36351227846694,342.7707879896441,336.0386493163801,313.7125233842584,314.5356998737157,True,1.5624873999913689,7.0396410875192545,-0.7723456553190411,0.7796951850875466,0.22607288667085718,0.4839996862257846,-0.9125997364590239,0.9131473851477434,0.0005421560595379659,0.4980940996303881,-1.4708948689863217,1.5301545226996716,-0.08360525285869423,0.9363084804658324,12658.502347239526,309.5364075938474,304.13659799372664,319.3410841399549,306.4568198751669,317.2366472701719,306.9549441352839,324.85335903816457,307.23606314777055,5.0,2.0,4.860518405840264,52.15829474142798,40.35964475543394,48.0075372519068,48.147188591607936,51.561923660004915,45.41292445752028,49.56571896964159,45.326685509639404
10,5,circle_xy,False,6.0,0.02,60,10,True,299,5.608594921366939,13.198138299863786,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.0441952139882593,0.7200749025214612,0.04989941487464243,0.547380825753944,-0.70976663616794,0.7190696548358747,-0.0037644324297170743,0.5421346287187667,-1.2295048355573293,0.0005937445093951468,-0.5741991766650119,0.3345636815733758,0.0,342.7707879896441,342.7707879896441,252.011657207192,336.28300391906413,269.9947086611242,342.7707879896441,342.7707879896441,True,0.9967714000085834,5.848439163352285,-0.7833378479772377,0.797519485547101,0.0666320705482892,0.5417595867025757,-0.8201613499788982,0.7037621012695516,-0.21889679276336732,0.4402249287275452,-1.438712258760759,0.7220869832351658,-0.49979467151628115,0.5721402278307915,0.0,0.0,342.7707879896441,342.7707879896441,237.89469388394798,315.64721023273773,244.5585095613461,342.5805624108942,342.7707879896441,5.0,2.0,2.839903898994773,0.0,42.242110805833114,44.03057602149879,37.71346066482441,41.21053469649407,31.86807949125233,45.25170337389496,37.703858823776564
