sim_id,trajectory_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation_mode,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_mean_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),mpc_max_omega0,mpc_max_omega1,mpc_max_omega2,mpc_max_omega3,mpc_max_omega4,mpc_max_omega5,mpc_max_omega6,mpc_max_omega7,nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi (rad),nn_max_phi (rad),nn_mean_phi (rad),nn_std_phi (rad),nn_min_theta (rad),nn_max_theta (rad),nn_mean_theta (rad),nn_std_theta (rad),nn_min_psi (rad),nn_max_psi (rad),nn_mean_psi (rad),nn_std_psi (rad),nn_min_omega_squared,nn_max_omega0,nn_max_omega1,nn_max_omega2,nn_max_omega3,nn_max_omega4,nn_max_omega5,nn_max_omega6,nn_max_omega7,radius (m),period (s),inter_position_RMSe,RMSe_u0,RMSe_u1,RMSe_u2,RMSe_u3,RMSe_u4,RMSe_u5,RMSe_u6,RMSe_u7
1,1,circle_xy,False,3.0,0.02,60,10,True,149,4.614554275760913,3.761703500029398,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7026239106868517,0.6592512102777061,-0.08495535907188609,0.437865654239984,-0.6254713018345776,0.505553728388013,0.018608087004005774,0.2978982163346721,-0.8911842033014453,0.20650925140890658,-0.3272188507629017,0.3166226923294535,271.31718794159315,269.9947086611242,277.2443213858112,281.730806038943,281.730806038943,281.730806038943,272.59148926730353,269.9947086611242,True,0.4139815001108218,4.638455391912042,-0.7185125839788404,0.7097757338962545,-0.048733388351554364,0.4191079398561479,-0.6428984657953113,0.494780241708596,0.001633639130244262,0.29734433305144187,-0.7945116784518698,0.03982469610148434,-0.38875294616784317,0.2658180051526664,37087.390228241566,261.6563563252676,256.9709603700428,279.0350484470309,262.43709174443086,268.1970522665281,269.32715979243824,262.8249779063945,260.2919331056425,4.0,1.0,0.39088590250716226,16.83650601875509,13.631350325099902,14.47640598299515,14.283822535050279,17.642906670480922,15.095832945784581,15.684147158971312,14.036877919898986
2,1,circle_xy,False,3.0,0.02,60,10,True,149,4.706469048681087,5.125835499813547,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7016384282244464,0.677484700107002,-0.0660321880564164,0.4399789501153999,-0.6981238419835472,0.5788193214279216,0.007888868260735595,0.33260552561157514,-0.9833446518112607,0.05073969818637996,-0.4911354463992609,0.33178060069386306,202.33479567801982,331.8621295162224,342.77078505405154,231.2397664891655,305.1355367207793,231.2397664891655,341.0173527710436,326.4925793418837,True,0.5685193999961484,4.720281089150606,-0.8489561446862962,0.7253614728173338,-0.08319641469514726,0.43237391704943884,-0.7356207371108282,0.6822140326779652,0.01826363003227939,0.4008774822602381,-1.05372876264528,0.02019065733589848,-0.6368747778677011,0.3315393913533763,0.0,202.33479567801982,314.96337864087906,340.36983682627323,222.62856018559847,286.9898127857239,220.11598103944056,329.24107182122293,316.5719672519589,4.0,1.0,0.5356879229235811,0.0,14.424135147424845,20.605330633802286,13.702217034703693,15.80432478315286,17.978586888849495,16.171634980127482,14.681605800329047
3,2,circle_xy,False,3.0,0.02,60,10,True,149,5.854648580478804,4.900873200065689,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.705791663907014,0.7145834213293134,-0.12115230487927058,0.4596430810747919,-0.7063825448120716,0.6062805698840235,0.038002672619835254,0.3566038479363163,-1.0792524954151825,0.2596602575777721,-0.4559467628065974,0.4102531876758847,277.39301118896765,269.9947086611242,280.54789323534965,282.1142901615581,285.2419862729433,281.730806038943,271.9309783986744,269.9947086611242,True,0.7524836000520736,5.884494973595462,-0.7504111695963382,0.7369362104212422,-0.08675521652585416,0.4313182594402965,-0.7344892221704103,0.7046073721358683,0.03353743340928954,0.35106096846154367,-1.05488964101741,0.07371188874475618,-0.4837795304608016,0.3433543005035748,34397.54354910692,265.70165680125126,258.13248458080415,290.2659214915215,265.8695591873766,271.32283514897006,275.72496147226985,268.2009652070726,264.29992897324536,5.0,1.0,0.4184174910780073,17.76594212559594,14.790395714930714,15.868967382408318,16.544782669598025,18.81401754694669,16.509751697621766,17.190841079407434,14.598502037052125
4,2,circle_xy,False,3.0,0.02,60,10,True,149,5.8185718140793306,5.226833900029305,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7021337266027309,0.7191486524895419,-0.1260823349360779,0.4577926750583045,-0.7088068424767355,0.675323439039468,0.024064838123928234,0.3753952457235024,-1.1736291595957686,0.0076601681464945484,-0.6504261038656,0.3827460011801253,202.33479567801982,321.9465758251298,342.7707879896391,268.9590147991597,297.9361589187306,267.83962589731476,337.7799211985896,322.5035144010899,True,0.4449134001915809,6.000263750052842,-0.8715820850584075,0.7462461984757741,-0.18338394501617852,0.45889740853505445,-0.7802370847165645,0.7095019933750487,0.044887680557732665,0.44459044078491144,-1.3643378969438205,0.06615577469325547,-0.7304955301968934,0.40536498541575916,0.0,202.33479567801982,319.0063213615496,342.7707879896441,227.71853702610434,292.3267140432058,222.87519208672887,331.22331705797103,324.7645181218685,5.0,1.0,0.742538654554012,0.0,30.29025369290316,28.444802086931595,21.878318287514336,25.03943406752829,24.66086025948619,29.62480800005224,26.489754706899262
5,3,circle_xy,False,3.0,0.02,60,10,True,149,7.110980639853506,4.472653900156729,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7125641129400435,0.719450499842318,-0.1543338019570244,0.4452993766924987,-0.7055780553916423,0.6976118639296942,0.05517689933403081,0.39391516808252297,-1.182003316601781,0.31520958892681306,-0.5022953822396098,0.4454729143208445,276.9465464937419,272.8121285758223,290.2245452124418,288.2497408996717,290.52948902076736,281.730806038943,272.91791209171265,274.51041156600826,True,0.6370350998186041,7.193702636712459,-0.7716759148349077,0.7202850572370181,-0.13878765123360548,0.44031557290319356,-0.7767165749018746,0.7674712551439579,0.07412278128870073,0.4079354199787208,-1.3395120181274318,0.10128433715450591,-0.5294197432029137,0.4182921562527286,32394.394147612737,301.0072933607701,274.1615126265645,321.576145421413,269.11806030035825,293.77849565672193,298.0243115835276,281.3144397566089,291.1539879141049,6.0,1.0,0.5330919298851482,21.682366743989917,19.61911197301618,21.538957126368512,21.152345186502984,19.63407239410588,21.593111755609076,19.71540195459656,20.364881548358017
6,3,circle_xy,False,3.0,0.02,60,10,True,149,6.957591645966266,8.073614400054794,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-2.158489001148708,0.7428210527606668,-0.1781071461927163,0.6892586857131312,-0.9568178809670097,0.6990508936038308,0.04052830148966324,0.4032463678816421,-1.4802931170747466,0.0,-0.7390027885273439,0.4490819103289406,202.33479567801982,342.7707879896441,342.7707879896441,292.99718674024786,342.7707879896441,292.99718674024786,342.7707879896441,342.7707879896441,True,0.4440183996921405,7.3004845638470375,-0.9099325468517551,0.7537088229116481,-0.26344086327234234,0.4626653297937609,-0.9252765429953028,0.7990696861227743,0.025157641863741306,0.49535739624943265,-1.5271725709624844,0.11058652714245146,-0.7777391769308699,0.46438627438993435,0.0,202.33479567801982,316.24911275386086,342.7707879896441,229.25522506264775,291.168957568629,224.37334517104273,330.4090258525154,328.3080808426571,6.0,1.0,0.9301088065105969,0.0,40.98896931608543,35.32128659712109,53.88786853792463,43.17135586080786,52.82185514395201,33.54169930102063,31.90778571834836
7,4,circle_xy,False,6.0,0.02,60,10,True,299,4.136879821274353,8.446705800131895,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7182209115698027,0.7189632314063392,-0.03036252731495985,0.559518587923102,-0.7101909506417109,0.7087060376620767,-0.002051461401684224,0.5346048650758957,-1.0591342463310682,0.023820925482977165,-0.6319430713619937,0.2742975370329255,303.29850439895125,301.71928310554574,288.4119321091777,310.54617319864656,319.1519014081577,315.37421375974833,300.56670819391314,293.30170370747015,True,1.4022936996188946,5.370946537428349,-0.7585940090856925,0.743777522673262,0.24150159548419547,0.45069681301051623,-0.7774635266866233,0.880048584715988,0.024409138628267386,0.46575393322092723,-1.2948249211002578,1.440842887341303,-0.08411715175887349,0.8887026689420822,12294.547131072963,313.79147854007664,298.5328815107475,323.1604871088224,294.8999700532465,318.3813566956866,296.8417840519116,321.10505912660733,298.1813672320005,4.0,2.0,3.7983838145925364,44.87808348605477,42.891140904103914,45.84342445594061,45.879789526913726,46.937887129271786,39.87194034866287,45.399673756560226,44.82329420379049
8,4,circle_xy,False,6.0,0.02,60,10,True,299,4.9019797473120725,10.82541719992878,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7180386711002017,0.7375198168631957,0.2153988265021431,0.4883603574070672,-0.7092633150197017,0.7123196694624343,-0.015311255613775826,0.5479390694176617,-1.2508720575452805,1.1359147990237108,-0.21415690574054405,0.6668609026641089,202.33479567801982,342.7707879896438,342.7707879896441,246.75839941662483,342.7707879896441,252.48825931644703,342.7707879896441,342.77078798964396,True,0.9510031000536401,4.480162177705529,-0.7428230664972033,0.7808994944414283,-0.027055674062626486,0.5466221420662651,-0.721261483824036,0.7425070688570908,-0.014700230519023272,0.5097611263899374,-1.2204259411058191,0.00046259770630924474,-0.6716833317075918,0.3164067023730481,0.0,202.33479567801982,340.6325407393497,342.7707879896441,224.3002689160165,318.9026427430411,231.40344625665227,342.7707879896441,342.7707879896441,4.0,2.0,2.6548386453225765,0.0,29.787248686901346,36.49372852224023,36.26927779269536,25.310073401307022,39.58063869040084,33.35191699241146,30.593017925577634
9,5,circle_xy,False,6.0,0.02,60,10,True,299,5.2184289894974745,10.830692400078988,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7224176868635086,0.7227257594724035,-0.01444237116315948,0.5721781035664191,-0.710261114143443,0.7112035326076398,-0.00533873378089068,0.5574675797181976,-1.111623231236385,0.02401484514034577,-0.6020630967625593,0.2782580072366967,329.33002444390047,327.97762215494424,300.9428762838791,328.36351227846694,342.7707879896441,336.0386493163801,313.7125233842584,314.5356998737157,True,1.1131485002988484,7.0396410875192545,-0.7723456553190411,0.7796951850875466,0.22607288667085718,0.4839996862257846,-0.9125997364590239,0.9131473851477434,0.0005421560595379659,0.4980940996303881,-1.4708948689863217,1.5301545226996716,-0.08360525285869423,0.9363084804658324,12658.502347239526,309.5364075938474,304.13659799372664,319.3410841399549,306.4568198751669,317.2366472701719,306.9549441352839,324.85335903816457,307.23606314777055,5.0,2.0,4.860518405840264,52.15829474142798,40.35964475543394,48.0075372519068,48.147188591607936,51.561923660004915,45.41292445752028,49.56571896964159,45.326685509639404
10,5,circle_xy,False,6.0,0.02,60,10,True,299,6.064793480266143,13.187034899747232,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.6254646318987738,0.729057810198458,-0.14273733193891722,0.5784858961382212,-0.7102164612562386,0.7952577238130264,-0.1671598357013729,0.5080259095588585,-1.3317460915290282,0.9597600986866541,-0.25770249103623083,0.6230574946959748,202.33479567801982,342.7707879896441,342.7707879896441,287.1678995201407,342.7707879896441,287.189702515012,342.7707879896441,342.7707879896441,True,0.8411152997578029,6.028049900152495,-0.7719619472131326,0.7603494083951919,0.06593272195090798,0.5297886011741058,-0.7598583660924908,0.7279545794049805,0.012799193597523354,0.539423583008632,-1.2983795645402822,0.0003019191673927936,-0.6268562500725142,0.3435642897912884,0.0,202.33479567801982,342.7707879896441,342.7707879896441,227.11892410552946,319.682440799407,237.4270623413034,342.7707879896441,342.7707879896441,5.0,2.0,3.7614802173066493,0.0,44.07673945251592,42.65601724346674,62.3446459504539,41.82300468610944,56.54218690184973,40.56172516735139,39.44905484406422
