sim_id,trajectory_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation_mode,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_mean_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),mpc_max_omega0,mpc_max_omega1,mpc_max_omega2,mpc_max_omega3,mpc_max_omega4,mpc_max_omega5,mpc_max_omega6,mpc_max_omega7,nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi (rad),nn_max_phi (rad),nn_mean_phi (rad),nn_std_phi (rad),nn_min_theta (rad),nn_max_theta (rad),nn_mean_theta (rad),nn_std_theta (rad),nn_min_psi (rad),nn_max_psi (rad),nn_mean_psi (rad),nn_std_psi (rad),nn_min_omega_squared,nn_max_omega0,nn_max_omega1,nn_max_omega2,nn_max_omega3,nn_max_omega4,nn_max_omega5,nn_max_omega6,nn_max_omega7,radius (m),period (s),inter_position_RMSe,RMSe_u0,RMSe_u1,RMSe_u2,RMSe_u3,RMSe_u4,RMSe_u5,RMSe_u6,RMSe_u7
1,1,circle_xy,False,3.0,0.02,60,10,True,149,4.606733941490976,4.197769799735397,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7028282086432394,0.6562810522910221,-0.0698318417243914,0.4461697858024267,-0.6383652672072879,0.5883574745249457,0.023385909840241,0.311203654788333,-0.9111946167735654,0.2440136770040067,-0.3216377984518226,0.3452116234043534,282.42621434547056,279.22861810674885,286.89059877510186,282.4242839085797,286.8444193347207,280.16905063974895,282.475556814622,276.1179874203705,True,0.6119018002646044,4.630448259500701,-0.7167848486896313,0.7097211212371168,-0.0490932224957815,0.4225170887561941,-0.6473399377624186,0.4969029156188577,0.0027704328330539,0.2996498302769508,-0.8015655518819083,0.0388328775406086,-0.3934326039983658,0.2682142064821543,37195.527658776846,262.7721322445201,257.3792101100439,279.62914691168345,263.21518003250924,269.3164684004966,269.99442851227093,263.34383866974173,261.2427723586125,4.0,1.0,0.4815566699913982,13.254631651704136,13.882965585988597,11.727758095689405,14.180424584827042,13.505257682308956,13.128173287077615,14.58480579724518,12.11436741124773
2,1,circle_xy,False,3.0,0.02,60,10,True,149,4.735795320405293,5.491414900287055,total_failure,0.0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.8269306347881921,0.7029435339283296,-0.0730995652818944,0.4225433784395641,-0.7014742855487943,0.639209919126896,-0.0333398510569409,0.3417083222800705,-1.085177020727685,0.0,-0.6482112664056596,0.3077464098654274,0.0,320.167354920095,324.89815978110283,270.94623355799297,270.94665585957665,270.946233752678,320.26541101280804,320.2541576379295,True,0.7425129998009652,4.598656820005544,-0.9313455381990892,0.7055664415254786,-0.0716813939831479,0.4403770412600366,-0.7080659138178365,0.6680525504610575,0.0415658551747111,0.3733272563459511,-0.9985678332875028,0.0464375118600192,-0.5908879391855675,0.3443185910225814,0.0,0.0,307.59643882891794,337.19406752961225,221.1631217668348,279.8198964151988,225.7197715762929,326.8662737597664,310.1806712591444,4.0,1.0,0.7361032569724798,0.0,17.34686265235841,12.46271322226792,22.61770945828856,24.19298544616386,23.78425748630729,11.23606167012666,19.649332555788448
3,2,circle_xy,False,3.0,0.02,60,10,True,149,5.83418598563077,3.963537000003271,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7044973471539232,0.7165047472423804,-0.1079400035765477,0.4645100554499917,-0.7065530533091278,0.6701547593528027,0.0500185568951117,0.3627829873934468,-1.1679938143823014,0.3007657766554809,-0.4594906866928193,0.4347124043224942,290.7343647777189,285.87602220861095,297.20384582874044,290.3622323552839,297.1051376998383,285.82120412571743,290.1713308921688,280.4725511808241,True,0.7939913006266579,5.872778273979264,-0.7501373072822434,0.7375208207267521,-0.0887532722132291,0.4349920181263469,-0.7382637547944142,0.7059343390367406,0.0360610624550541,0.3557496477588653,-1.0661051423706474,0.0721837682806565,-0.495523371704506,0.3465572356241372,34417.95885555167,266.8414993059635,258.85968182813457,291.6960284845377,267.1112346869757,272.34917908895665,275.74977406408124,268.67455206341793,264.82855216365505,5.0,1.0,0.5339476346142007,17.604104744258922,17.22375894969769,14.932772212367151,17.59763443350308,18.29174763461196,16.323122790042042,18.74040631315724,14.641345132841307
4,2,circle_xy,False,3.0,0.02,60,10,True,149,5.956584519333866,6.596398999914527,total_failure,0.0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.011402857616457,0.7234110396739911,-0.1081505905856009,0.5094036331137662,-0.8360351814336124,0.6744045912375349,0.0306092852039937,0.3749898300445405,-1.3570185476453984,0.0956413242753633,-0.6138694009995017,0.4202683810852053,0.0,342.770787989644,342.770787989644,227.00092175035545,341.58225293126566,223.0374924887199,342.7707866940464,338.0669928924348,True,1.0672356997383758,5.835567127266786,-0.9897163653256296,0.7518338420036383,-0.1566064166483517,0.4752273228072385,-0.7543576685265684,0.7026220861344636,0.0755498030393258,0.4044030826086855,-1.2897865990542534,0.1157404487350275,-0.685953992093623,0.4261753322508815,0.0,0.0,315.4942952320249,347.9806236905605,224.8428671749974,290.4681956648547,226.4886616781821,333.7013680014216,323.8174742590753,5.0,1.0,0.5725015947811213,0.0,27.647406117277463,26.518147332564645,39.47265849284397,34.869862027748006,49.13269059987115,19.85692030711527,25.1469223618052
5,3,circle_xy,False,3.0,0.02,60,10,True,149,7.083668935177801,5.1504231001017615,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7100668089407841,0.7155636892127811,-0.1491737541439437,0.4755157686078906,-0.7602883275743806,0.6990626982183726,0.0897868007047087,0.3837636583514337,-1.2958609032411963,0.3593214058301253,-0.4329981304486971,0.4487498870082647,319.5932942780857,287.18386940004103,342.770787989644,292.8814038787413,326.6862426980136,287.19620257565794,316.8841555418833,280.5664527518431,True,1.0385263005737215,7.172917546455778,-0.7713053368566402,0.7253570099706855,-0.1399718429630504,0.4444057883590947,-0.7832503675442851,0.7603425106861822,0.0752694643696057,0.4104407267471058,-1.3359049457811436,0.1032251519397581,-0.5377480293238085,0.4201192180837125,32337.70015465829,300.18741563129424,271.93275285041244,320.4500928449445,269.2834058290679,292.63396443046565,297.46045193617914,280.25750669863265,289.7473665877025,6.0,1.0,0.598513737030014,27.88894605309612,20.57990253483031,17.2686391986391,21.455229694634035,28.800277144875587,19.8425055036248,22.917966224063026,18.7873969477242
6,3,circle_xy,False,3.0,0.02,60,10,True,149,6.955321060924492,7.226904200506397,total_failure,0.0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.8398035502805183,0.7157758601180039,-0.1463642354841766,0.6208668165522969,-0.8433298888291675,0.6713272593758935,-0.0088204769948334,0.4108648868741271,-1.3582524207924769,0.0,-0.75678452006353,0.3796296927715593,0.0,342.770787989644,342.770787989644,300.3839235344888,324.64613229606067,300.38393347216817,342.770787989644,342.770787989644,True,0.7415184007259086,7.108988574818019,-1.01605298680984,0.7662487756933402,-0.2326060767741772,0.4839212795036854,-0.7870389296222906,0.7456260734020288,0.0821561416065524,0.4303406584383748,-1.4774222615312975,0.1815811121033135,-0.7268242612792157,0.4824765307821665,0.0,0.0,317.6143557675154,353.04416101592125,227.1002213845109,294.5111716967376,236.8611704507473,332.1803750173212,329.9930164892688,6.0,1.0,0.6511956082728131,0.0,38.18765498808451,28.32516228703408,37.835300701070175,40.95880976677147,40.905926098338135,29.9110149883714,33.34360624432538
7,4,circle_xy,False,6.0,0.02,60,10,True,299,4.130918650929112,8.252570199547336,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7181376995096592,0.719671717944474,-0.0335611498044523,0.5674252944054319,-0.7086047151129388,0.7096470892255071,-0.0091807058139443,0.5367339975027415,-1.0912069712741668,0.0661569158505752,-0.6356333613084544,0.2788667487099858,300.4286164460826,299.8825872505564,293.0713798548998,314.24478471373493,314.4550881146417,315.6600839208092,298.6353983896112,296.09106985212577,True,1.3466714997775853,5.372716372223929,-0.7583862245172511,0.7446543365045825,0.241869713507989,0.4508293433095903,-0.7781874287281839,0.8800214510552432,0.0239071314378145,0.4656465287876448,-1.2959520498115042,1.4346549505832982,-0.0839124632609566,0.8877128343359136,12278.878305078484,313.8260672681548,298.5209398703629,322.8895549019391,294.8877931587343,318.37718799355576,296.8463359243526,320.73728554794246,298.182412062833,4.0,2.0,3.6262937133749418,40.93183043194875,38.38298661032683,44.50979803647815,44.50822321437976,41.57879701338205,36.299668078271424,41.678228449375794,43.08964197623277
8,4,circle_xy,False,6.0,0.02,60,10,True,299,4.346618301027579,9.298397400067188,total_failure,0.0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7202672402745558,0.7246114166078954,-0.0213213997765598,0.5614934298151867,-0.7104155799737499,0.7103723280336212,-0.0025068994967725,0.5407892470813641,-1.201051433865682,0.0334841021077932,-0.6939026469872153,0.294424579585253,0.0,342.770787989634,342.7707879895618,246.2851171313424,331.9520964863454,251.8214547029305,342.7707879896439,342.7707879839376,True,1.7222922999644652,4.551471504605414,-0.7470963203195361,0.7675932507402952,0.061438370783301,0.5377073480897026,-0.7802496946014481,0.6757488140589806,-0.1667145717454573,0.4253131461566559,-1.3313858686651494,0.5071662421448873,-0.4972836128073846,0.4901495997513165,0.0,0.0,341.961654270291,347.80500184618046,235.88321812578224,308.1797579697802,239.8599126700352,340.9768042432977,340.9607777454892,4.0,2.0,1.903101885955936,0.0,26.73576216174919,32.536739812417935,22.55111514986022,25.5856523530746,22.24340665585885,30.608048464905504,28.03030828862312
9,5,circle_xy,False,6.0,0.02,60,10,True,299,5.217372242317095,8.588724200613797,normal,,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7226650061842904,0.7216545040377771,-0.0275222735182873,0.5882720273047434,-0.708629541850981,0.710511999312639,-0.0031418761581838,0.5591341055924329,-1.1603389382719271,0.0770870340434865,-0.623566813664172,0.2888608930940518,329.2558065430512,326.65037781296013,316.34979558109995,337.1516656391645,340.91721871304907,334.6617285454317,319.5881201059962,323.67225242237055,True,1.489744700025767,7.025380474835156,-0.7705454557329523,0.7824117126151324,0.226161622293797,0.4831648104502393,-0.9096402048085628,0.9190401003184556,0.0041731913579782,0.4978837161675921,-1.4596025315382146,1.5283543409228535,-0.0862682276158014,0.9356811024908368,12398.73193785199,308.5820317005573,303.9359210216783,318.2227140133861,306.2247554686361,317.41904904287634,306.79967138319694,324.5550260320357,307.02784364310094,5.0,2.0,4.772846508944724,48.28882495905122,38.88423474550682,45.15345306015524,50.20399068845939,46.73350622787901,44.46489824745281,44.53357342347476,47.704900407440725
10,5,circle_xy,False,6.0,0.02,60,10,True,299,5.889259540921527,11.97262659925036,total_failure,0.0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-2.000365660191864,0.7361645690955345,0.0941157699261572,0.6306881209464326,-0.7152670822955425,0.9940281691202884,-0.2156418290486612,0.4821711415693802,-1.4770497043545807,1.103495704289957,-0.4828079926979545,0.6082061873911713,0.0,342.770787989644,342.7707879896434,312.07638507372747,339.27339498444195,315.6163392510826,342.770787989644,342.770787989644,True,1.483161298558116,5.668103445701405,-0.7657777852551844,0.8192366138076292,0.0365747700285902,0.5644757193875977,-0.8215062185858655,0.7632915718924425,-0.1739678387477807,0.4632937400263446,-1.3863651283195684,0.5226477591977515,-0.5047392981025202,0.5076460089088187,0.0,0.0,346.77996874032414,349.6479936923272,239.136648286802,314.50492847678225,246.390805110306,342.80231266557075,347.38203282462666,5.0,2.0,1.930791630387466,0.0,44.82725201395719,45.592696383061806,63.212210270400334,38.54657687730768,53.95031719255749,46.36574723274975,42.11011638292666
