sim_id,trajectory_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation_mode,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_mean_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),mpc_max_omega0,mpc_max_omega1,mpc_max_omega2,mpc_max_omega3,mpc_max_omega4,mpc_max_omega5,mpc_max_omega6,mpc_max_omega7,nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi (rad),nn_max_phi (rad),nn_mean_phi (rad),nn_std_phi (rad),nn_min_theta (rad),nn_max_theta (rad),nn_mean_theta (rad),nn_std_theta (rad),nn_min_psi (rad),nn_max_psi (rad),nn_mean_psi (rad),nn_std_psi (rad),nn_min_omega_squared,nn_max_omega0,nn_max_omega1,nn_max_omega2,nn_max_omega3,nn_max_omega4,nn_max_omega5,nn_max_omega6,nn_max_omega7,radius (m),period (s),inter_position_RMSe,RMSe_u0,RMSe_u1,RMSe_u2,RMSe_u3,RMSe_u4,RMSe_u5,RMSe_u6,RMSe_u7
1,1,line,False,30.0,0.02,60,10,True,1499,0.13526282356624963,27.34230150061194,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.007072085136733233,0.015495145647728166,0.00016165754912779857,0.0018116367838399874,-0.030957922229671603,0.014132618709928912,-0.00032296885452008336,0.0036200187845835613,-0.00023715011920197885,7.383687817239722e-05,-3.909786480804745e-07,2.483031383189717e-05,230.20436983186514,230.20414373059,230.20397111024894,230.20395170879635,230.20410506394535,230.2043324386534,230.20449985642378,230.2045178390227,True,6.88365920225624,0.14397894895827454,-0.03912107144726413,0.04108733173769685,0.000301531960096651,0.016959927252113025,-0.0464263429089075,0.03363892650303532,-0.00040905471834725766,0.009449259198295567,-0.02020313671469151,0.04489527371408318,0.012770786428410867,0.013685694917919863,35393.62000880856,230.37204296777776,230.12626061204884,229.6163449702462,229.9468146100043,230.99615307188733,229.88497427354557,229.71440487357654,229.8265246866605,nan,nan,0.04322033386569248,1.3757287687580682,1.4520559950912126,1.38224561977558,1.3543020433291095,1.4817052995326927,1.3646980247868319,1.4174850047497616,1.4894952003974447
2,1,line,False,30.0,0.02,60,10,True,1499,0.4683075245240605,40.229009798844345,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.9827734708669862,0.6987028418104071,-0.0044892096939520565,0.19304490883575523,-0.4026769096836012,0.3438644198815661,0.004193940145289703,0.05996671681607696,-0.5485786614702165,0.11595711211136114,-0.01689943320036213,0.08848420070600967,0.0,342.770787989644,317.8955744739318,304.6937745772926,304.6340919940598,304.6938070185482,317.14627757554496,342.770787989644,True,7.927804494625889,0.13314845722023122,-0.2476325664718049,0.19646013996476988,-0.000217108337901274,0.02856791213833384,-0.05048601852213189,0.07661037671261087,2.450262270203248e-06,0.014047020348244307,-0.09535988443202735,0.028403113182587283,-0.02373417860518581,0.020630283362281586,0.0,0.0,267.532938683866,280.0854937158261,182.707845388269,233.72183350692632,183.18596433913814,279.1619930600438,269.3360823451809,nan,nan,0.44621702495532223,0.0,15.328816662807853,14.716792376773423,11.75732575255183,12.92753713739859,12.029116285399676,13.13267332503598,15.062597615380252
3,2,line,False,30.0,0.02,60,10,True,1499,0.3205524406486485,33.16077200078871,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.4515390967395611,0.5732016877152611,0.008698599168413403,0.18145124040472274,-0.23992458552218182,0.26815684552463986,0.0015385096939647853,0.14003342083793602,-0.02543350950167548,0.17962558250224725,0.06038252151855365,0.039202087394497,258.911430651223,258.652319512167,256.94630086570817,256.54104226330185,255.88631915460937,257.12780383968925,257.83545208623605,259.2927682395341,True,7.094901097705588,0.4617159469143622,-0.44079449939565823,0.6833863714342817,0.021201109293615975,0.23168458981001683,-0.4613469024046752,0.5121704080627532,-0.009600198796066044,0.24106707177160755,-0.05814545883809458,0.27263207231628234,0.10949506502768194,0.0853711184420405,33296.21560920216,266.6306743460566,263.69851821854724,262.85854026194073,261.78852103822834,263.08151210588323,263.1793768735353,264.1082552444864,264.65990083191383,nan,nan,0.3381973974913706,14.431620066198873,13.415311953202771,13.688602187202735,11.744890373780384,12.362172459231704,12.448372316082898,14.691856886208864,13.930258536709328
4,2,line,False,30.0,0.02,60,10,True,1499,0.7840218720925736,39.40657340013422,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.4292263427140413,0.7009867548231348,-0.0013029122447577872,0.22636675684033222,-0.7009715721690385,0.613739768792405,0.001552491839837498,0.20629901393709088,-0.5707533965167141,0.1272647373988602,-0.0019357707554741666,0.13018993415302454,0.0,342.770787989644,342.7707879788846,294.6532434048597,306.7551366177947,294.65324381283784,342.77077724709517,342.770787989644,True,8.352094503003173,0.5530922113442116,-0.5230757026393619,0.7087609303866451,0.007255764502236661,0.18301226833720766,-0.5484398259019848,0.48276823080982545,-0.005131023041733316,0.23546990411522964,-0.38403734174289655,0.13458064344740578,-0.04779353704345789,0.10231181451942269,0.0,0.0,331.40340421576764,342.2959377540846,214.8265994626393,287.2218869998744,222.0098977247451,340.2008575066393,329.26024596905825,nan,nan,0.6548281123452977,0.0,24.397436601317487,24.351701390531982,22.085194154344837,27.852994232132136,18.470775279800137,25.209690771938124,23.724920887487524
5,3,line,False,30.0,0.02,60,10,True,1499,0.3854176318329428,31.334567101555876,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.38019307346446346,0.4399806459798396,0.009996742276026326,0.18565976139295093,-0.36157912644431683,0.45470163267937486,0.015229680420504583,0.1991161902615066,-0.0438507918751042,0.1954446929193805,0.07101782141635286,0.06747485348157031,257.14062216189996,257.23397631150203,257.12343879156134,255.45581040986386,254.60163316378092,253.73021790497518,254.60846125767978,255.46543428234148,True,7.387893398292363,0.5521989310320685,-0.5695454943030128,0.6221229478198159,0.00846417476972353,0.2166807823576353,-0.5661786663880545,0.6580837034828456,0.01677748521805834,0.339608311370724,-0.07698216202733345,0.3666060798478716,0.13263807892670793,0.1129226021437495,32935.82516174577,262.8405023626316,261.32166864124724,264.0534419015804,260.4588968804141,258.70457184644914,259.4754811441279,258.28711423080773,260.07363795747733,nan,nan,0.25836746464651633,10.476155004905033,8.813337869550352,8.058293322310687,8.601853696395924,8.820162799480675,9.636490359629528,8.562228520349866,9.200386622843755
6,3,line,False,30.0,0.02,60,10,True,1499,1.2728488837973213,37.24873469956219,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-2.0000682496151088,0.7085797698051794,-0.016308405559070042,0.32813906381856217,-0.7210253174639571,0.7135917409610653,0.03531781246759002,0.2781394493932181,-1.1619209089165774,1.2311489197039496,0.09609338230728352,0.29704161237050875,0.0,342.770787989644,342.7707879896253,305.39551563954353,338.71097663216443,305.39558750674155,342.77078798964396,342.770787989644,True,7.056148300413042,0.6526385397442568,-0.5601338833687993,0.6892261815767694,0.0239173647739174,0.27147638213354697,-0.61261963195699,0.5926704046715625,0.015922624244735378,0.30209709529305134,-0.5138946585983142,0.009918894591207183,-0.2042988940143266,0.14967903512013375,0.0,0.0,316.27702054369604,329.49076512837973,211.25662907325224,276.1671805868961,215.1050763328524,326.51314744088324,316.6886868465682,nan,nan,1.146665648320299,0.0,30.897131332960235,29.219456443654728,24.017622894277025,28.348014686190606,19.85935757217377,27.454760488607302,27.629879549656383
7,4,line,False,30.0,0.02,60,10,True,1499,0.1095205952445015,26.586285401601344,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.09021033110341625,0.07862348653455248,-0.00042918413986337017,0.02074534774014164,-0.03697903205991354,0.03241591442611609,-0.0001757026156212002,0.008563234084979708,-0.0007212926258461865,0.0016469556740050827,2.6465518995870674e-06,0.00020548642775153212,235.18394638720525,235.20423091129442,234.78914700914257,234.25704598255072,233.84318470480028,233.86769191373304,234.23957847678284,234.8164474058976,True,6.387390701333061,0.1664696419101459,-0.14932091412953527,0.16066743180947596,-0.0013578742958118193,0.09498532985951402,-0.17126073108927245,0.16006409150439724,0.0002273066497810965,0.09252457637779114,-0.019247617201245428,0.026738491196512452,0.005300538475807587,0.010165569903477896,41724.98369728215,232.94375662524553,232.8808343439178,233.9585478238511,233.3897609457339,233.87978581942298,235.67818230680922,234.61388433092415,234.14156666494816,nan,nan,0.1257102334646092,1.7507764134777648,1.7286077927397727,2.001425887806479,1.8567963618587853,1.6672014586220876,2.0882433352996363,2.1807769441201708,1.2272551790100834
8,4,line,False,30.0,0.02,60,10,True,1499,0.23386422166975868,33.92647379892878,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.18744391482790665,0.09749601834121738,-0.0009041719342808053,0.029533237775787397,-0.04715722662628421,0.0660937794922582,-0.00015874702990645767,0.012873272978295616,-0.1175331999138263,0.024653656289673954,-0.004356842254143222,0.020494415214850802,0.0,300.9081859591074,321.1225699745568,207.94052704044168,260.97377289869183,208.31911588114764,321.32421718698583,300.78892974604616,True,7.458473699167371,0.20479383263576142,-0.18505585951611409,0.17390130440101909,-0.0015644479172855536,0.10103622388149854,-0.19232168030805039,0.17280099007733923,-0.0002085005912839275,0.11106646344448473,-0.1014294776866498,0.029535871733812936,-0.004869280896722853,0.019948034478484228,0.0,0.0,289.3068368047017,300.6114634883137,194.559627804023,264.4101396342612,197.03399240360946,297.33465411252087,291.31599675032135,nan,nan,0.1444275254203818,0.0,8.560787284760446,8.76835465271128,7.319679641590919,15.07068180133373,5.8824245278929554,9.820348168380479,9.950840867051497
9,5,line,False,30.0,0.02,60,10,True,1499,0.19586983140098696,37.58117329934612,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.07143602507908485,0.18359225576064173,0.001964839058582946,0.021127538697115235,-0.5421352858390317,0.2675319323133908,-0.0020013940980656486,0.08202720496953758,-0.05258007283022124,0.004890246951554185,-0.0007475292872984805,0.0057489637062206785,240.95846311917683,241.26014876219776,240.8329553619029,241.254015696267,240.94977610561668,241.42506349471876,241.07523315735006,241.4311939955113,True,6.082877901848406,0.19427738374856304,-0.07624071837391898,0.2085437734114135,0.0019225204897851962,0.03534939860333032,-0.5350667634551274,0.2254955782604528,-0.0014933875728631726,0.07978947366085314,-0.07104784879939045,0.05003755258732269,0.004050768216191676,0.025082650192613087,38423.00618070178,237.60201145665036,234.86003527225515,234.80015108527684,235.360040503973,235.83576142116388,235.706600617907,235.8710658209614,236.20583667440445,nan,nan,0.0754563274358606,1.931037819619231,1.9769625395790247,1.8781495241008896,1.7104029285786118,1.9088140920811045,1.990423931246584,1.923193011014529,1.8711606478731364
10,5,line,False,30.0,0.02,60,10,True,1499,0.25956542432327895,45.628436101949774,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.39101468532106753,0.3926140916994169,0.0012668692132913391,0.05470379175599685,-0.5434148481642619,0.26740645766643323,-0.00133257819840646,0.08038675373839019,-0.07906055288023307,0.03213569586963428,-0.001408906428977652,0.010241469983755865,0.0,288.45919969891605,301.87658001133013,203.2639762077886,247.62764115063464,203.26397308900422,304.9065398870048,287.8704210598966,True,7.660190504975617,0.2604820307153849,-0.1124184016653581,0.2917073055487344,0.0016440451091861445,0.03334985392215429,-0.5254302323059865,0.21899296238483176,-0.00043024306248279777,0.07714211279956984,-0.10599774291754473,0.03261636387885625,0.006504980731506317,0.02811260064017329,0.0,0.0,286.316447960532,302.4173287502992,197.0973471754857,247.72520201148313,195.8163728712143,303.46908321245456,288.24689131216815,nan,nan,0.09446210865346642,0.0,5.995593523724095,5.168533746212825,6.022470585212561,6.321583571221605,4.3464274923316255,6.674008165887135,6.656087181798048
